mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
25.3378,2.95011,11.9915,-0.603892,-0.603892,0.0660828
25.4083,2.95503,11.8292,-0.567406,-0.567406,0.0620956
25.5023,2.97517,11.3346,-0.603251,-0.603251,0.063265
25.3568,2.9613,10.4961,-0.580788,-0.580788,0.0741167
25.5957,2.94682,11.8281,-0.656781,-0.656781,0.0679614
25.6465,2.94529,10.9806,-0.593886,-0.593886,0.0700687
25.2379,2.97107,11.0489,-0.616841,-0.616841,0.0687873
25.6747,2.95938,11.8468,-0.661652,-0.661652,0.076394
25.5459,2.94026,10.353,-0.583093,-0.583093,0.0700484
25.6766,2.94787,10.7872,-0.554219,-0.554219,0.0636067
25.7573,2.94543,10.2901,-0.587609,-0.587609,0.068667
25.9536,2.94601,11.2732,-0.598565,-0.598565,0.0663779
25.7566,2.95088,11.5488,-0.584585,-0.584585,0.0642274
25.4685,2.97061,11.1089,-0.591414,-0.591414,0.0677383
25.6022,2.97298,10.244,-0.536835,-0.536835,0.0639553
25.6665,2.9764,9.93392,-0.517146,-0.517146,0.0627984
25.4534,2.9556,10.7063,-0.565423,-0.565423,0.0671391
25.8338,2.94489,12.4827,-0.724189,-0.724189,0.0805279
25.777,2.93939,12.3125,-0.715178,-0.715178,0.0813749
25.3929,2.96904,10.0284,-0.53057,-0.53057,0.0609345
25.4252,2.97312,10.9934,-0.599638,-0.599638,0.0698198
25.508,2.95772,11.3896,-0.618321,-0.618321,0.0671507
25.5749,2.96672,10.8066,-0.591917,-0.591917,0.0725294
25.6716,2.94979,12.1456,-0.67815,-0.67815,0.0736543
25.6813,2.94587,10.703,-0.598547,-0.598547,0.0689157
25.5037,2.96759,9.91433,-0.552127,-0.552127,0.0638819
25.6471,2.96684,10.8827,-0.549023,-0.549023,0.0644619
25.7004,2.96818,10.9243,-0.553104,-0.553104,0.0636868
25.4481,2.9604,10.2812,-0.510372,-0.510372,0.0597129
25.2702,2.97095,11.2373,-0.655675,-0.655675,0.073506
25.381,2.97212,10.4256,-0.531538,-0.531538,0.0621407
25.514,2.96121,11.3325,-0.631234,-0.631234,0.0697258
25.6597,2.95344,12.1371,-0.634135,-0.634135,0.0673366
25.6385,2.955,11.5807,-0.626159,-0.626159,0.0684467
25.3055,2.97222,10.8481,-0.583255,-0.583255,0.0670008
25.3716,2.97619,11.0454,-0.58877,-0.58877,0.0658376
25.5174,2.96085,11.1664,-0.571535,-0.571535,0.0656986
25.529,2.95928,11.5142,-0.652102,-0.652102,0.0729351
25.4824,2.9569,10.483,-0.582483,-0.582483,0.0678438
25.4689,2.96484,10.1993,-0.570601,-0.570601,0.0654053
25.5749,2.96992,11.0658,-0.562639,-0.562639,0.0656564
25.7115,2.96285,12.0808,-0.640536,-0.640536,0.0687506
25.3744,2.96988,13.2149,-0.803992,-0.803992,0.0873928
25.2817,2.97438,12.1687,-0.644613,-0.644613,0.0656255
25.4969,2.96431,10.9466,-0.628805,-0.628805,0.0673297
25.4926,2.96039,11.2423,-0.641464,-0.641464,0.0666343
25.6884,2.94426,11.288,-0.578683,-0.578683,0.0687036
25.7341,2.95961,10.9735,-0.630621,-0.630621,0.0697817
25.6596,2.95616,11.7237,-0.624152,-0.624152,0.0707177
25.3732,2.968,9.57267,-0.518174,-0.518174,0.0625944
25.4306,2.9716,10.8183,-0.566712,-0.566712,0.0667752
25.4137,2.96022,11.1284,-0.612647,-0.612647,0.0754414
25.3316,2.96796,11.0823,-0.613052,-0.613052,0.0736261
25.546,2.94607,9.57267,-0.516675,-0.516675,0.0595283
25.2579,2.96919,11.7496,-0.682119,-0.682119,0.0785402
25.4348,2.97854,13.0498,-0.668198,-0.668198,0.0711394
25.5245,2.97572,11.0277,-0.645016,-0.645016,0.0743649
25.3807,2.96175,10.9952,-0.642948,-0.642948,0.0752544
25.3886,2.96287,11.2801,-0.647811,-0.647811,0.074808
25.4988,2.96665,11.5203,-0.573643,-0.573643,0.0568191
25.7756,2.94864,9.75598,-0.547809,-0.547809,0.0689682
25.5833,2.9694,12.0379,-0.679072,-0.679072,0.0718356
25.4048,2.95957,12.3829,-0.616849,-0.616849,0.065187
25.4392,2.95348,12.3312,-0.628279,-0.628279,0.0683428
25.5388,2.95724,10.7669,-0.597168,-0.597168,0.0676624
25.4219,2.95821,11.3242,-0.619927,-0.619927,0.0686971
25.3666,2.97481,11.1349,-0.600232,-0.600232,0.0732546
25.4991,2.96572,10.5784,-0.572607,-0.572607,0.0624583
25.4056,2.95767,11.5683,-0.652667,-0.652667,0.0737526
25.4499,2.96664,11.8497,-0.656859,-0.656859,0.0731772
25.5234,2.96132,10.5903,-0.556932,-0.556932,0.069333
25.4801,2.97317,11.683,-0.623754,-0.623754,0.0652161
25.4033,2.95362,11.7505,-0.641778,-0.641778,0.0703775
25.6457,2.96626,10.6858,-0.543254,-0.543254,0.0642672
25.6015,2.97268,10.6743,-0.593061,-0.593061,0.0669139
25.5325,2.9752,11.6317,-0.549891,-0.549891,0.0639268
25.5215,2.96524,10.8037,-0.571661,-0.571661,0.0669346
25.5412,2.96705,11.1439,-0.596276,-0.596276,0.0679928
25.396,2.95281,11.1655,-0.622041,-0.622041,0.0697394
25.4114,2.94999,10.9841,-0.58735,-0.58735,0.06695
25.7185,2.96282,10.1393,-0.53192,-0.53192,0.061733
25.271,2.95866,10.616,-0.570295,-0.570295,0.0653653
25.7467,2.9575,10.9928,-0.602011,-0.602011,0.066934
