measured_from,datetime,lat,lng,precise
P1,2022-06-22 09:53:19,46.5213444444444,6.57393055555556,on
P1,2022-06-22 09:56:35,46.5214083333333,6.573775,on
P1,2022-06-22 09:57:36,46.5213805555556,6.57384444444444,on
P1,2022-06-22 09:58:06,46.5213611111111,6.57388888888889,on
P1,2022-06-22 09:59:38,46.5213861111111,6.573825,on
P1,2022-06-22 09:59:52,46.5213861111111,6.573825,on
P1,2022-06-22 10:00:27,46.5213861111111,6.573825,on
P1,2022-06-22 10:00:50,46.5213472222222,6.5739,on
P1,2022-06-22 10:02:02,46.5213361111111,6.573925,on
P1,2022-06-22 10:02:33,46.5213361111111,6.573925,on
P1,2022-06-22 10:03:36,46.5213361111111,6.573925,on
P1,2022-06-22 10:04:12,46.5213361111111,6.573925,on
P1,2022-06-22 10:04:46,46.5213361111111,6.573925,on
P1,2022-06-22 10:05:53,46.5213611111111,6.57390833333333,on
P1,2022-06-22 10:07:13,46.5213611111111,6.57390833333333,on
P1,2022-06-22 10:07:42,46.5213611111111,6.57390833333333,on
P1,2022-06-22 10:08:10,46.5213611111111,6.57390833333333,on
P1,2022-06-22 10:09:22,46.5213777777778,6.57384444444444,on
P1,2022-06-22 10:11:07,46.5213861111111,6.573825,on
P1,2022-06-22 10:12:02,46.5213861111111,6.573825,on
P1,2022-06-22 10:12:30,46.5213861111111,6.573825,on
P1,2022-06-22 10:13:11,46.5213861111111,6.573825,on
P1,2022-06-22 10:13:35,46.5213611111111,6.57393888888889,on
P1,2022-06-22 10:14:27,46.5213555555556,6.573975,on
P1,2022-06-22 10:15:17,46.5213555555556,6.573975,on
P1,2022-06-22 10:15:49,46.5213555555556,6.573975,on
P1,2022-06-22 10:17:55,46.5213777777778,6.57393888888889,on
P1,2022-06-22 10:19:13,46.5213861111111,6.57392777777778,on
P1,2022-06-22 10:19:47,46.5213861111111,6.57392777777778,on
P1,2022-06-22 10:20:04,46.5213861111111,6.57392777777778,on
P1,2022-06-22 10:20:20,46.5213861111111,6.57392777777778,on
P1,2022-06-22 10:21:06,46.5213861111111,6.57392777777778,on
P1,2022-06-22 10:21:49,46.5213861111111,6.57392777777778,on
P1,2022-06-22 10:22:16,46.5213777777778,6.57385555555556,on
P1,2022-06-22 10:22:46,46.5213777777778,6.57385,on
P1,2022-06-22 10:23:05,46.5213777777778,6.57385,on
P1,2022-06-22 10:24:09,46.5213777777778,6.57385,on
P1,2022-06-22 10:24:34,46.5213777777778,6.57385,on
P1,2022-06-22 10:25:14,46.5213777777778,6.57385,on
P1,2022-06-22 10:25:35,46.5213777777778,6.57385,on
P1,2022-06-22 10:26:24,46.5213916666667,6.57386388888889,on
P1,2022-06-22 10:27:19,46.5213972222222,6.57386944444444,on
P1,2022-06-22 10:28:55,46.5213972222222,6.57386944444444,on
P1,2022-06-22 10:29:33,46.5213972222222,6.57386944444444,on
P1,2022-06-22 10:30:20,46.5213972222222,6.57386944444444,on
P1,2022-06-22 10:31:31,46.5213861111111,6.57389166666667,on
P1,2022-06-22 10:32:19,46.5213861111111,6.57389166666667,on
P1,2022-06-22 10:32:50,46.5213861111111,6.57389166666667,on
P1,2022-06-22 10:33:31,46.5213694444444,6.573925,on
P1,2022-06-22 10:34:06,46.5213694444444,6.573925,on
P1,2022-06-22 10:34:32,46.5213694444444,6.573925,on
P1,2022-06-22 10:35:12,46.5213694444444,6.573925,on
P1,2022-06-22 10:35:33,46.5213694444444,6.573925,on
P1,2022-06-22 10:36:11,46.5213388888889,6.57394444444444,on
P1,2022-06-22 10:36:50,46.5213388888889,6.57394444444444,on
P1,2022-06-22 10:37:28,46.5213388888889,6.57394444444444,on
P1,2022-06-22 10:38:28,46.5213388888889,6.57394444444444,on
P1,2022-06-22 10:39:16,46.5213972222222,6.57389722222222,on
P1,2022-06-22 10:40:43,46.5214,6.57389444444444,on
P1,2022-06-22 10:41:26,46.5214,6.57389444444444,on
P1,2022-06-22 10:42:12,46.5214,6.57389444444444,on
P1,2022-06-22 10:42:56,46.5214,6.57389444444444,on
P1,2022-06-22 10:43:25,46.5213972222222,6.57383055555556,on
P1,2022-06-22 10:44:12,46.5213916666667,6.57380833333333,on
P1,2022-06-22 10:45:02,46.5213916666667,6.57380833333333,on
P1,2022-06-22 10:45:22,46.5213916666667,6.57380833333333,on
P1,2022-06-22 10:46:06,46.5213916666667,6.57380833333333,on
P1,2022-06-22 10:46:43,46.5213916666667,6.57380833333333,on
P1,2022-06-22 10:49:04,46.5213888888889,6.57379722222222,on
P1,2022-06-22 10:50:53,46.5213888888889,6.57379722222222,on
P1,2022-06-22 10:51:11,46.5213888888889,6.57379722222222,on
P1,2022-06-22 10:51:37,46.5213888888889,6.57379722222222,on
P1,2022-06-22 10:51:48,46.5213916666667,6.57380555555556,on
P1,2022-06-22 10:52:50,46.5213916666667,6.57380555555556,on
P1,2022-06-22 10:53:34,46.5213916666667,6.57380555555556,on
P1,2022-06-22 10:54:04,46.5213916666667,6.57380555555556,on
P1,2022-06-22 10:54:33,46.5213916666667,6.57380555555556,on
P1,2022-06-22 10:54:47,46.5213916666667,6.57380555555556,on
P1,2022-06-22 10:55:06,46.5213916666667,6.57380555555556,on
P1,2022-06-22 10:56:14,46.5213777777778,6.57388055555556,on
P1,2022-06-22 10:56:57,46.5213694444444,6.57390555555556,on
P1,2022-06-22 10:57:42,46.5213694444444,6.57390555555556,on
P1,2022-06-22 10:58:14,46.5213694444444,6.57390555555556,on
