mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
1.97866,3.22582,1.056,-0.0670199,-0.0670199,1.88564
1.70426,3.64416,1.35818,-1.06444,-1.06444,3.22579
1.80626,2.98999,0.887347,-0.00498079,-0.00498079,2.39122
1.65121,3.42135,1.26941,-0.735483,-0.735483,2.81005
1.68026,3.45144,0.900274,-0.494275,-0.494275,2.81009
1.59724,3.45886,0.998465,-0.449948,-0.449948,2.67988
1.51163,3.35227,0.912544,-0.480777,-0.480777,2.74816
1.6436,3.32972,1.07557,-0.567396,-0.567396,3.74288
1.66871,3.41123,1.14795,-0.756496,-0.756496,3.16559
1.833,3.03253,0.871494,-0.126364,-0.126364,2.3579
1.84061,3.08243,0.969312,-0.429294,-0.429294,2.57991
1.9399,3.3683,1.09801,-0.329958,-0.329958,2.65452
1.78839,2.88439,1.12675,-0.402256,-0.402256,2.15346
1.6698,3.37679,0.84519,-0.32826,-0.32826,3.00582
1.80143,3.08429,1.31204,-0.484526,-0.484526,2.29354
1.7982,3.26769,0.827135,-0.438025,-0.438025,2.95589
1.75854,3.03946,1.09767,-0.569895,-0.569895,2.48014
1.83951,3.30765,1.22019,-0.748519,-0.748519,2.59284
1.75036,3.4888,1.10407,-0.132212,-0.132212,2.49885
1.79189,3.00958,1.09174,-0.585175,-0.585175,2.49038
1.53238,3.318,0.978797,-0.313508,-0.313508,2.29268
1.96697,3.20619,1.19861,-0.420802,-0.420802,3.1468
1.48055,3.40176,0.971356,-0.542151,-0.542151,2.48062
1.99745,3.10966,1.10789,-0.331289,-0.331289,2.91526
1.84088,3.16715,0.994403,-0.360052,-0.360052,2.09181
1.73242,3.17681,1.04698,-0.562536,-0.562536,3.28446
1.77176,3.35329,0.988572,-0.479461,-0.479461,2.73945
1.74449,3.36961,0.950151,-0.273986,-0.273986,2.30863
1.7545,3.18026,0.919387,-0.528056,-0.528056,2.62939
1.81628,3.05694,0.940135,-0.519152,-0.519152,3.12383
1.8645,3.11142,0.936789,-0.16668,-0.16668,1.88173
1.8639,3.17125,1.15058,-0.502198,-0.502198,3.0107
1.81518,3.14108,1.16627,-0.517535,-0.517535,3.38127
1.72077,3.3744,0.871357,-0.407783,-0.407783,2.28343
1.76568,3.29207,0.887865,-0.386072,-0.386072,3.09789
1.54657,3.04303,0.964821,-0.469697,-0.469697,2.62132
2.05106,3.3423,1.18791,-0.447675,-0.447675,2.52075
1.7952,3.13638,0.945591,-0.53962,-0.53962,2.53225
1.7428,3.50243,0.923503,-0.109196,-0.109196,2.14879
1.72712,3.44575,0.890456,-0.0809271,-0.0809271,2.2213
1.58981,3.22708,1.33493,-0.715661,-0.715661,2.85081
1.75106,3.28299,1.33533,-0.631789,-0.631789,3.28521
1.67926,3.29779,0.97896,-0.442469,-0.442469,3.38196
1.67817,3.25189,1.01597,-0.190853,-0.190853,2.82201
1.86866,3.385,1.1411,-0.553022,-0.553022,2.57004
1.84821,3.30836,1.17117,-0.635166,-0.635166,2.93929
1.74054,3.05,1.35489,-0.719742,-0.719742,3.39061
1.74075,3.42671,0.818396,-0.281229,-0.281229,1.93375
1.76032,3.25485,1.08635,-0.242003,-0.242003,1.97715
1.77061,3.29625,1.15418,-0.347791,-0.347791,2.12072
1.78019,3.14989,0.914327,-0.438538,-0.438538,3.12079
1.75298,3.30549,0.915786,-0.261298,-0.261298,2.77451
1.70537,3.10642,1.06089,-0.359105,-0.359105,2.50737
1.77965,3.38935,0.950765,-0.50253,-0.50253,2.75551
1.71334,3.41755,1.02719,-0.385262,-0.385262,2.50325
1.69525,3.47615,1.05334,-0.328761,-0.328761,2.43277
1.74434,3.33416,1.06059,-0.240105,-0.240105,2.60364
1.71316,3.74215,1.12495,-0.530954,-0.530954,2.60184
1.67933,2.95641,1.00701,-0.497128,-0.497128,2.84516
1.7481,3.05946,0.825711,-0.33298,-0.33298,3.04736
1.74654,3.37059,1.29417,-0.562246,-0.562246,2.13464
1.74654,3.37059,1.29417,-0.562246,-0.562246,2.13464
1.79616,3.19986,0.807458,-0.323002,-0.323002,3.04642
1.73895,3.11875,1.18025,-0.628741,-0.628741,2.69658
1.82426,3.24511,0.89677,-0.521154,-0.521154,2.67294
1.92687,3.35016,1.32013,-0.510106,-0.510106,2.98118
1.58935,3.16108,1.08683,-0.426537,-0.426537,2.10521
1.92044,3.33737,0.978336,-0.381844,-0.381844,2.8544
1.74028,3.18614,0.946626,-0.240537,-0.240537,2.75706
1.73551,3.23776,1.06509,-0.376483,-0.376483,2.34683
1.81584,3.29521,1.10484,-0.48505,-0.48505,2.37739
1.6927,3.21796,0.951767,-0.525706,-0.525706,2.98375
