log_likelihood_ratio,likelihood_ratio,prob_A
873.395,0.0,0.0
1227.96,0.0,0.0
869.903,0.0,0.0
1228.13,0.0,0.0
767.751,0.0,0.0
1204.52,0.0,0.0
767.05,0.0,0.0
1126.22,0.0,0.0
1009.25,0.0,0.0
983.174,0.0,0.0
1081.04,0.0,0.0
881.383,0.0,0.0
1067.74,0.0,0.0
924.242,0.0,0.0
1118.63,0.0,0.0
1213.81,0.0,0.0
695.978,5.50463e-303,5.50463e-303
1230.2,0.0,0.0
1012.17,0.0,0.0
1880.04,0.0,0.0
798.793,0.0,0.0
740.492,2.57e-322,0.0
893.346,0.0,0.0
831.998,0.0,0.0
848.534,0.0,0.0
1059.64,0.0,0.0
1190.44,0.0,0.0
1046.81,0.0,0.0
725.817,6.04974e-316,6.0498e-316
948.999,0.0,0.0
772.723,0.0,0.0
1152.77,0.0,0.0
1122.73,0.0,0.0
747.888,0.0,0.0
1080.02,0.0,0.0
768.048,0.0,0.0
1068.56,0.0,0.0
506.063,1.65768e-220,1.65768e-220
1226.7,0.0,0.0
1187.01,0.0,0.0
951.142,0.0,0.0
863.677,0.0,0.0
1103.83,0.0,0.0
884.722,0.0,0.0
721.955,2.87803e-314,2.8768e-314
1218.92,0.0,0.0
769.215,0.0,0.0
660.791,1.05262e-287,1.05262e-287
1042.37,0.0,0.0
760.781,0.0,0.0
610.674,6.13006e-266,6.13006e-266
1161.41,0.0,0.0
952.03,0.0,0.0
676.654,1.35793e-294,1.35793e-294
827.86,0.0,0.0
633.198,1.0126e-275,1.0126e-275
861.982,0.0,0.0
1334.02,0.0,0.0
603.68,6.68326e-263,6.68326e-263
944.289,0.0,0.0
754.069,0.0,0.0
1052.66,0.0,0.0
890.663,0.0,0.0
786.174,0.0,0.0
804.766,0.0,0.0
746.675,0.0,0.0
965.698,0.0,0.0
1031.17,0.0,0.0
605.036,1.72352e-263,1.72352e-263
991.548,0.0,0.0
843.693,0.0,0.0
865.11,0.0,0.0
381.482,2.11061e-166,2.11061e-166
1033.77,0.0,0.0
559.544,9.8402e-244,9.8402e-244
1205.69,0.0,0.0
927.938,0.0,0.0
871.047,0.0,0.0
588.144,3.73634e-256,3.73634e-256
878.411,0.0,0.0
1030.85,0.0,0.0
1016.69,0.0,0.0
1048.79,0.0,0.0
1717.21,0.0,0.0
826.547,0.0,0.0
1120.0,0.0,0.0
609.067,3.06023e-265,3.06023e-265
795.83,0.0,0.0
1137.97,0.0,0.0
1049.86,0.0,0.0
893.112,0.0,0.0
1270.63,0.0,0.0
755.703,0.0,0.0
1502.29,0.0,0.0
717.127,3.5949e-312,3.5949e-312
868.984,0.0,0.0
798.948,0.0,0.0
553.007,6.79486e-241,6.79486e-241
655.747,1.63126e-285,1.63126e-285
1315.51,0.0,0.0
1564.71,0.0,0.0
784.327,0.0,0.0
1306.37,0.0,0.0
969.668,0.0,0.0
745.002,5e-324,0.0
925.16,0.0,0.0
1075.43,0.0,0.0
701.863,1.53057e-305,1.53057e-305
1005.45,0.0,0.0
590.962,2.2305e-257,2.2305e-257
1361.19,0.0,0.0
1561.47,0.0,0.0
1438.08,0.0,0.0
1123.8,0.0,0.0
894.813,0.0,0.0
679.061,1.22345e-295,1.22345e-295
1124.69,0.0,0.0
1486.56,0.0,0.0
835.735,0.0,0.0
950.959,0.0,0.0
902.765,0.0,0.0
1343.49,0.0,0.0
1122.96,0.0,0.0
1078.72,0.0,0.0
892.232,0.0,0.0
1075.41,0.0,0.0
753.745,0.0,0.0
947.181,0.0,0.0
850.75,0.0,0.0
933.051,0.0,0.0
596.66,7.47627e-260,7.47627e-260
829.785,0.0,0.0
1136.02,0.0,0.0
1188.72,0.0,0.0
1005.73,0.0,0.0
1044.67,0.0,0.0
955.314,0.0,0.0
863.791,0.0,0.0
930.503,0.0,0.0
2081.86,0.0,0.0
1739.71,0.0,0.0
903.799,0.0,0.0
1634.64,0.0,0.0
645.333,5.43865e-281,5.43865e-281
657.68,2.36173e-286,2.36173e-286
483.539,1.00428e-210,1.00428e-210
574.717,2.53165e-250,2.53165e-250
1571.78,0.0,0.0
572.829,1.67348e-249,1.67348e-249
714.857,3.47833e-311,3.47833e-311
366.448,7.14138e-160,7.14138e-160
310.158,1.99554e-135,1.99554e-135
616.215,2.40461e-268,2.40461e-268
622.265,5.67249e-271,5.67249e-271
