log_likelihood_ratio,likelihood_ratio,prob_A
45.8982,1.16589e-20,1.16589e-20
34.6087,9.32507e-16,9.32507e-16
33.4556,2.95416e-15,2.95416e-15
30.297,6.95295e-14,6.95295e-14
99.2302,8.03297e-44,8.03297e-44
18.7633,7.09875e-09,7.09875e-09
37.1817,7.11542e-17,7.11542e-17
29.8044,1.13796e-13,1.13796e-13
38.4198,2.06294e-17,2.06294e-17
39.9379,4.52059e-18,4.52059e-18
45.6172,1.54414e-20,1.54414e-20
67.4957,4.86387e-30,4.86387e-30
50.5877,1.07163e-22,1.07163e-22
44.1207,6.89659e-20,6.89659e-20
60.4289,5.70238e-27,5.70238e-27
58.1805,5.40159e-26,5.40159e-26
48.3221,1.03275e-21,1.03275e-21
58.6866,3.2563e-26,3.2563e-26
58.3454,4.58045e-26,4.58045e-26
71.7771,6.72332e-32,6.72332e-32
56.6455,2.50701e-25,2.50701e-25
71.0504,1.39054e-31,1.39054e-31
62.4855,7.29276e-28,7.29276e-28
40.6382,2.24421e-18,2.24421e-18
75.4408,1.7238e-33,1.7238e-33
55.0738,1.20717e-24,1.20717e-24
62.8958,4.83827e-28,4.83827e-28
53.8033,4.30059e-24,4.30059e-24
39.8796,4.7921e-18,4.7921e-18
43.6266,1.13035e-19,1.13035e-19
45.9001,1.16366e-20,1.16366e-20
83.821,3.95369e-37,3.95369e-37
44.036,7.50566e-20,7.50566e-20
73.2329,1.5681e-32,1.5681e-32
35.8004,2.832e-16,2.832e-16
44.9952,2.87616e-20,2.87616e-20
50.4122,1.27722e-22,1.27722e-22
39.4161,7.61748e-18,7.61748e-18
56.5049,2.88552e-25,2.88552e-25
55.9216,5.17084e-25,5.17084e-25
41.0705,1.45648e-18,1.45648e-18
34.4894,1.05062e-15,1.05062e-15
64.5069,9.66045e-29,9.66045e-29
32.9094,5.10084e-15,5.10084e-15
84.8602,1.39856e-37,1.39856e-37
48.4796,8.82182e-22,8.82182e-22
23.3611,7.15194e-11,7.15194e-11
24.8992,1.53605e-11,1.53605e-11
30.4476,5.98117e-14,5.98117e-14
45.9796,1.07476e-20,1.07476e-20
42.2923,4.29217e-19,4.29217e-19
41.8671,6.56657e-19,6.56657e-19
53.4053,6.40273e-24,6.40273e-24
31.2151,2.7762e-14,2.7762e-14
63.6068,2.3763e-28,2.3763e-28
42.7746,2.65001e-19,2.65001e-19
44.5926,4.30221e-20,4.30221e-20
43.984,7.90651e-20,7.90651e-20
47.8032,1.73518e-21,1.73518e-21
54.1211,3.12985e-24,3.12985e-24
53.6279,5.12487e-24,5.12487e-24
56.6681,2.45111e-25,2.45111e-25
39.3323,8.28315e-18,8.28315e-18
37.3162,6.21996e-17,6.21996e-17
32.622,6.799e-15,6.799e-15
33.0572,4.39976e-15,4.39976e-15
22.2745,2.11994e-10,2.11994e-10
110.408,1.12324e-48,1.12324e-48
88.3869,4.11201e-39,4.11201e-39
29.1228,2.24966e-13,2.24966e-13
102.415,3.32293e-45,3.32293e-45
48.3734,9.81036e-22,9.81036e-22
59.1221,2.10659e-26,2.10659e-26
18.6654,7.82957e-09,7.82957e-09
59.6028,1.30267e-26,1.30267e-26
39.9527,4.45432e-18,4.45432e-18
41.9048,6.324e-19,6.324e-19
44.2989,5.77076e-20,5.77076e-20
44.9122,3.12513e-20,3.12513e-20
58.5714,3.65407e-26,3.65407e-26
50.0379,1.85709e-22,1.85709e-22
67.5257,4.72005e-30,4.72005e-30
32.6508,6.60605e-15,6.60605e-15
19.4381,3.6153e-09,3.6153e-09
59.4789,1.47446e-26,1.47446e-26
44.6392,4.10629e-20,4.10629e-20
33.0688,4.34931e-15,4.34931e-15
86.9172,1.78789e-38,1.78789e-38
36.6465,1.21512e-16,1.21512e-16
61.0317,3.12085e-27,3.12085e-27
54.9553,1.35892e-24,1.35892e-24
60.2165,7.05209e-27,7.05209e-27
37.0717,7.94251e-17,7.94251e-17
35.7455,2.99184e-16,2.99184e-16
38.7711,1.45188e-17,1.45188e-17
57.4539,1.1171e-25,1.1171e-25
58.6985,3.21774e-26,3.21774e-26
53.5815,5.36855e-24,5.36855e-24
48.049,1.35702e-21,1.35702e-21
55.1434,1.12596e-24,1.12596e-24
44.9087,3.1363e-20,3.1363e-20
60.6203,4.70927e-27,4.70927e-27
84.1386,2.87796e-37,2.87796e-37
31.6575,1.78372e-14,1.78372e-14
72.5528,3.09546e-32,3.09546e-32
28.5201,4.11051e-13,4.11051e-13
45.9155,1.1459e-20,1.1459e-20
54.9267,1.39836e-24,1.39836e-24
39.5604,6.59372e-18,6.59372e-18
46.9991,3.8776e-21,3.8776e-21
40.0185,4.17049e-18,4.17049e-18
18.0584,1.43654e-08,1.43654e-08
51.5716,4.00612e-23,4.00612e-23
40.9396,1.66021e-18,1.66021e-18
71.9657,5.56766e-32,5.56766e-32
20.9607,7.88632e-10,7.88632e-10
37.5734,4.8092e-17,4.8092e-17
58.3425,4.59398e-26,4.59398e-26
36.2295,1.84392e-16,1.84392e-16
114.083,2.84789e-50,2.84789e-50
20.5604,1.17688e-09,1.17688e-09
70.8102,1.76821e-31,1.76821e-31
62.924,4.70377e-28,4.70377e-28
29.2242,2.0328e-13,2.0328e-13
96.0765,1.88148e-42,1.88148e-42
20.0848,1.89364e-09,1.89364e-09
83.9364,3.52273e-37,3.52273e-37
43.2436,1.6578e-19,1.6578e-19
29.7432,1.20978e-13,1.20978e-13
48.2703,1.08758e-21,1.08758e-21
55.081,1.19849e-24,1.19849e-24
39.0474,1.10136e-17,1.10136e-17
40.6209,2.28343e-18,2.28343e-18
76.4587,6.22862e-34,6.22862e-34
30.454,5.94299e-14,5.94299e-14
21.112,6.779e-10,6.779e-10
38.2367,2.47761e-17,2.47761e-17
42.0317,5.57e-19,5.57e-19
60.9835,3.27484e-27,3.27484e-27
61.645,1.6901e-27,1.6901e-27
39.1516,9.92356e-18,9.92356e-18
25.0216,1.35911e-11,1.35911e-11
