log_likelihood_ratio,likelihood_ratio,prob_A
854.037,0.0,0.0
993.179,0.0,0.0
615.745,3.85033e-268,3.85033e-268
1359.03,0.0,0.0
1014.86,0.0,0.0
878.34,0.0,0.0
1126.39,0.0,0.0
1416.46,0.0,0.0
619.227,1.18376e-269,1.18376e-269
1117.62,0.0,0.0
756.589,0.0,0.0
508.036,2.30542e-221,2.30542e-221
621.207,1.63418e-270,1.63418e-270
478.774,1.17797e-208,1.17797e-208
1232.6,0.0,0.0
787.781,0.0,0.0
655.033,3.33263e-285,3.33263e-285
976.045,0.0,0.0
1138.49,0.0,0.0
556.559,1.94766e-242,1.94766e-242
1676.03,0.0,0.0
450.292,2.75765e-196,2.75765e-196
359.285,9.21598e-157,9.21598e-157
506.737,8.45052e-221,8.45052e-221
460.906,6.77533e-201,6.77533e-201
726.846,2.16125e-316,0.0
659.973,2.38473e-287,2.38482e-287
741.876,6.4e-323,0.0
492.49,1.30134e-214,1.30134e-214
1092.83,0.0,0.0
972.759,0.0,0.0
906.864,0.0,0.0
1150.45,0.0,0.0
508.944,9.29599e-222,9.29599e-222
904.13,0.0,0.0
810.444,0.0,0.0
1528.85,0.0,0.0
1502.9,0.0,0.0
652.645,3.63093e-284,3.63093e-284
657.42,3.06333e-286,3.06333e-286
711.069,1.53627e-309,0.0
1221.78,0.0,0.0
450.473,2.30153e-196,2.30153e-196
1304.6,0.0,0.0
808.927,0.0,0.0
987.904,0.0,0.0
891.077,0.0,0.0
1350.71,0.0,0.0
910.869,0.0,0.0
1052.09,0.0,0.0
769.409,0.0,0.0
1039.43,0.0,0.0
804.796,0.0,0.0
1196.95,0.0,0.0
750.916,0.0,0.0
743.62,1e-323,0.0
1031.29,0.0,0.0
817.239,0.0,0.0
1003.92,0.0,0.0
584.901,9.56686e-255,9.56686e-255
486.138,7.46022e-212,7.46022e-212
1105.8,0.0,0.0
1050.25,0.0,0.0
1118.45,0.0,0.0
447.842,3.19531e-195,3.19531e-195
549.448,2.38714e-239,2.38714e-239
468.428,3.66796e-204,3.66796e-204
418.607,1.59e-182,1.59e-182
338.648,8.44979e-148,8.44979e-148
1601.85,0.0,0.0
362.427,3.98254e-158,3.98254e-158
618.394,2.72081e-269,2.72081e-269
1604.4,0.0,0.0
538.634,1.18643e-234,1.18643e-234
1342.85,0.0,0.0
822.697,0.0,0.0
1294.8,0.0,0.0
1215.99,0.0,0.0
900.592,0.0,0.0
773.034,0.0,0.0
1068.68,0.0,0.0
1244.56,0.0,0.0
1072.08,0.0,0.0
783.117,0.0,0.0
1097.39,0.0,0.0
851.266,0.0,0.0
1060.15,0.0,0.0
1297.2,0.0,0.0
954.608,0.0,0.0
744.743,5e-324,0.0
1391.17,0.0,0.0
589.346,1.1224e-256,1.1224e-256
712.914,2.42962e-310,0.0
620.308,4.01447e-270,4.01447e-270
703.636,2.59808e-306,2.59806e-306
965.252,0.0,0.0
1165.09,0.0,0.0
847.759,0.0,0.0
781.706,0.0,0.0
1044.63,0.0,0.0
1171.82,0.0,0.0
1071.98,0.0,0.0
1401.97,0.0,0.0
655.073,3.20189e-285,3.20189e-285
197.763,1.2966e-86,1.2966e-86
303.247,2.00266e-132,2.00266e-132
651.642,9.9005e-284,9.9005e-284
1095.56,0.0,0.0
1360.47,0.0,0.0
1350.88,0.0,0.0
638.848,3.56383e-278,3.56383e-278
749.785,0.0,0.0
1009.35,0.0,0.0
933.333,0.0,0.0
872.999,0.0,0.0
679.249,1.01364e-295,0.0
666.386,3.90973e-290,0.0
795.722,0.0,0.0
1412.27,0.0,0.0
472.062,9.68618e-206,9.68618e-206
642.019,1.49473e-279,1.49473e-279
243.786,1.33416e-106,1.33416e-106
297.495,6.30227e-130,6.30227e-130
339.427,3.87873e-148,3.87873e-148
440.491,4.98001e-192,4.98001e-192
658.52,1.01967e-286,1.01967e-286
450.861,1.56102e-196,1.56102e-196
594.228,8.5101e-259,8.5101e-259
662.017,3.08742e-288,3.08742e-288
636.075,5.70314e-277,5.70314e-277
987.012,0.0,0.0
1073.84,0.0,0.0
765.362,0.0,0.0
854.524,0.0,0.0
875.522,0.0,0.0
534.717,5.96241e-233,5.96241e-233
976.45,0.0,0.0
731.882,1.40513e-318,0.0
1070.11,0.0,0.0
1305.7,0.0,0.0
601.724,4.72783e-262,4.72783e-262
883.237,0.0,0.0
878.118,0.0,0.0
531.211,1.987e-231,1.987e-231
877.596,0.0,0.0
662.117,2.79478e-288,2.79478e-288
1040.19,0.0,0.0
851.202,0.0,0.0
593.449,1.85469e-258,1.85469e-258
1138.67,0.0,0.0
1375.1,0.0,0.0
816.366,0.0,0.0
663.086,1.06076e-288,0.0
1341.49,0.0,0.0
558.47,2.88193e-243,2.88193e-243
1415.01,0.0,0.0
586.405,2.12603e-255,2.12603e-255
635.819,7.36495e-277,7.36495e-277
1099.03,0.0,0.0
908.38,0.0,0.0
1032.72,0.0,0.0
1034.69,0.0,0.0
586.487,1.9594e-255,1.9594e-255
690.68,1.10043e-300,0.0
760.312,0.0,0.0
1621.89,0.0,0.0
544.797,2.49861e-237,2.49861e-237
1093.28,0.0,0.0
910.763,0.0,0.0
956.638,0.0,0.0
1125.67,0.0,0.0
1275.23,0.0,0.0
1616.53,0.0,0.0
390.341,2.99807e-170,2.99807e-170
376.607,2.76399e-164,2.76399e-164
1007.21,0.0,0.0
747.776,0.0,0.0
623.099,2.46267e-271,2.46267e-271
1063.67,0.0,0.0
989.274,0.0,0.0
1161.99,0.0,0.0
815.248,0.0,0.0
732.772,5.76757e-319,0.0
1434.27,0.0,0.0
779.188,0.0,0.0
1101.05,0.0,0.0
1193.54,0.0,0.0
1122.31,0.0,0.0
1491.48,0.0,0.0
1108.34,0.0,0.0
671.029,3.76544e-292,3.76544e-292
1263.39,0.0,0.0
1011.04,0.0,0.0
929.667,0.0,0.0
889.635,0.0,0.0
671.695,1.93384e-292,1.93384e-292
989.932,0.0,0.0
1003.97,0.0,0.0
716.597,6.10904e-312,0.0
747.996,0.0,0.0
1162.27,0.0,0.0
316.943,2.25551e-138,2.25551e-138
642.843,6.55781e-280,6.55781e-280
1280.25,0.0,0.0
767.779,0.0,0.0
1173.45,0.0,0.0
1049.89,0.0,0.0
945.684,0.0,0.0
1388.8,0.0,0.0
823.131,0.0,0.0
681.508,1.05897e-296,0.0
783.311,0.0,0.0
932.505,0.0,0.0
981.205,0.0,0.0
692.769,1.36182e-301,1.61218e-301
1315.86,0.0,0.0
900.926,0.0,0.0
1058.21,0.0,0.0
945.532,0.0,0.0
1033.45,0.0,0.0
916.844,0.0,0.0
940.236,0.0,0.0
949.784,0.0,0.0
1356.45,0.0,0.0
884.734,0.0,0.0
1021.17,0.0,0.0
855.601,0.0,0.0
870.076,0.0,0.0
1159.21,0.0,0.0
783.927,0.0,0.0
639.458,1.93604e-278,1.93604e-278
478.675,1.30014e-208,1.30014e-208
1394.15,0.0,0.0
1680.97,0.0,0.0
717.759,1.91164e-312,0.0
1137.12,0.0,0.0
955.461,0.0,0.0
1171.03,0.0,0.0
761.917,0.0,0.0
987.432,0.0,0.0
855.805,0.0,0.0
977.463,0.0,0.0
826.155,0.0,0.0
1337.32,0.0,0.0
738.32,2.25e-321,0.0
826.594,0.0,0.0
1133.24,0.0,0.0
711.644,8.64856e-310,0.0
783.922,0.0,0.0
958.562,0.0,0.0
915.421,0.0,0.0
925.671,0.0,0.0
1064.52,0.0,0.0
716.185,9.21884e-312,0.0
1126.04,0.0,0.0
1032.15,0.0,0.0
1101.57,0.0,0.0
929.533,0.0,0.0
892.764,0.0,0.0
762.831,0.0,0.0
1191.36,0.0,0.0
900.023,0.0,0.0
986.52,0.0,0.0
965.171,0.0,0.0
853.255,0.0,0.0
1193.61,0.0,0.0
847.097,0.0,0.0
1220.4,0.0,0.0
611.544,2.57057e-266,2.57057e-266
493.877,3.24895e-215,3.24895e-215
1045.85,0.0,0.0
579.616,1.88707e-252,1.88707e-252
639.285,2.30168e-278,2.30168e-278
557.499,7.61142e-243,7.61142e-243
812.564,0.0,0.0
882.982,0.0,0.0
797.115,0.0,0.0
496.803,1.74302e-216,1.74302e-216
781.966,0.0,0.0
866.975,0.0,0.0
749.745,0.0,0.0
399.518,3.09997e-174,3.09997e-174
312.919,1.26205e-136,1.26205e-136
890.557,0.0,0.0
1043.18,0.0,0.0
1237.83,0.0,0.0
810.283,0.0,0.0
870.719,0.0,0.0
1005.95,0.0,0.0
867.399,0.0,0.0
1010.53,0.0,0.0
1382.84,0.0,0.0
976.239,0.0,0.0
819.0,0.0,0.0
1040.59,0.0,0.0
1151.93,0.0,0.0
827.312,0.0,0.0
930.503,0.0,0.0
743.231,1.5e-323,0.0
756.808,0.0,0.0
853.472,0.0,0.0
982.238,0.0,0.0
931.975,0.0,0.0
904.557,0.0,0.0
937.589,0.0,0.0
1306.35,0.0,0.0
1391.86,0.0,0.0
675.26,5.47464e-294,5.47464e-294
673.396,3.52966e-293,3.52968e-293
767.463,0.0,0.0
619.691,7.44025e-270,7.44025e-270
645.698,3.77458e-281,0.0
1230.47,0.0,0.0
1686.55,0.0,0.0
620.637,2.88867e-270,2.88867e-270
653.44,1.63995e-284,1.63995e-284
851.218,0.0,0.0
408.774,2.96186e-178,2.96186e-178
457.041,3.23367e-199,3.23367e-199
776.277,0.0,0.0
643.584,3.12607e-280,3.12607e-280
539.894,3.36392e-235,3.36392e-235
411.083,2.94458e-179,2.94458e-179
397.894,1.5727e-173,1.5727e-173
403.349,6.72526e-176,6.72526e-176
1650.75,0.0,0.0
831.962,0.0,0.0
1026.37,0.0,0.0
709.991,4.51615e-309,0.0
554.103,2.27146e-241,2.27146e-241
643.051,5.32564e-280,5.32564e-280
816.544,0.0,0.0
1206.63,0.0,0.0
1016.07,0.0,0.0
1003.03,0.0,0.0
1033.27,0.0,0.0
1344.47,0.0,0.0
665.031,1.51604e-289,1.51602e-289
487.054,2.98545e-212,2.98545e-212
576.202,5.73672e-251,5.73672e-251
1017.57,0.0,0.0
649.052,1.31962e-282,1.31962e-282
1044.43,0.0,0.0
747.814,0.0,0.0
803.417,0.0,0.0
705.351,4.67793e-307,0.0
900.52,0.0,0.0
701.323,2.6267e-305,0.0
948.66,0.0,0.0
870.217,0.0,0.0
793.024,0.0,0.0
386.064,2.15985e-168,2.15985e-168
1638.35,0.0,0.0
622.902,2.9987e-271,2.9987e-271
628.43,1.19264e-273,1.19264e-273
577.525,1.52778e-251,1.52778e-251
1145.55,0.0,0.0
1407.94,0.0,0.0
633.054,1.17011e-275,1.17011e-275
1178.49,0.0,0.0
600.024,2.58634e-261,2.58634e-261
641.65,2.16238e-279,2.16238e-279
608.77,4.11641e-265,4.11641e-265
723.995,3.74128e-315,0.0
1096.5,0.0,0.0
1074.73,0.0,0.0
820.981,0.0,0.0
1228.28,0.0,0.0
862.613,0.0,0.0
822.071,0.0,0.0
1227.93,0.0,0.0
883.923,0.0,0.0
726.607,2.7464e-316,0.0
714.987,3.05627e-311,0.0
629.189,5.57811e-274,5.57811e-274
526.977,1.3698e-229,1.3698e-229
721.605,4.0845e-314,0.0
1080.58,0.0,0.0
805.304,0.0,0.0
1245.35,0.0,0.0
493.055,7.39752e-215,7.39752e-215
871.549,0.0,0.0
554.488,1.54568e-241,1.54568e-241
928.693,0.0,0.0
941.856,0.0,0.0
978.565,0.0,0.0
836.409,0.0,0.0
998.951,0.0,0.0
1251.77,0.0,0.0
862.354,0.0,0.0
1818.55,0.0,0.0
1127.83,0.0,0.0
756.05,0.0,0.0
1715.15,0.0,0.0
436.121,3.93497e-190,3.93497e-190
876.648,0.0,0.0
898.45,0.0,0.0
957.203,0.0,0.0
725.061,1.28848e-315,0.0
753.698,0.0,0.0
1215.04,0.0,0.0
1315.76,0.0,0.0
1613.09,0.0,0.0
376.609,2.75971e-164,2.75971e-164
1126.51,0.0,0.0
940.185,0.0,0.0
1514.61,0.0,0.0
718.033,1.45269e-312,0.0
1132.76,0.0,0.0
714.959,3.14365e-311,0.0
778.898,0.0,0.0
1820.15,0.0,0.0
535.736,2.1511e-233,2.1511e-233
1525.64,0.0,0.0
402.483,1.59973e-175,1.59973e-175
384.023,1.66261e-167,1.66261e-167
1035.39,0.0,0.0
470.595,4.19948e-205,4.19948e-205
1280.04,0.0,0.0
871.941,0.0,0.0
1081.5,0.0,0.0
837.161,0.0,0.0
972.57,0.0,0.0
835.273,0.0,0.0
1377.71,0.0,0.0
1265.28,0.0,0.0
914.865,0.0,0.0
1111.33,0.0,0.0
1152.14,0.0,0.0
695.711,7.18771e-303,7.18765e-303
1116.06,0.0,0.0
1010.22,0.0,0.0
697.632,1.05259e-303,0.0
1227.02,0.0,0.0
506.701,8.75703e-221,8.75703e-221
1055.69,0.0,0.0
1125.27,0.0,0.0
1002.77,0.0,0.0
891.185,0.0,0.0
844.847,0.0,0.0
844.661,0.0,0.0
871.982,0.0,0.0
1140.34,0.0,0.0
1176.61,0.0,0.0
1182.06,0.0,0.0
1274.99,0.0,0.0
543.497,9.17188e-237,9.17188e-237
1116.85,0.0,0.0
861.846,0.0,0.0
918.133,0.0,0.0
735.474,3.87e-320,0.0
1147.07,0.0,0.0
688.184,1.33524e-299,1.33524e-299
1317.62,0.0,0.0
830.781,0.0,0.0
1046.37,0.0,0.0
606.849,2.81101e-264,2.81101e-264
557.974,4.73104e-243,4.73104e-243
970.658,0.0,0.0
1063.6,0.0,0.0
784.668,0.0,0.0
668.713,3.81792e-291,3.81792e-291
1432.1,0.0,0.0
601.05,9.27774e-262,9.27774e-262
474.27,1.06418e-206,1.06418e-206
343.901,4.4237e-150,4.4237e-150
363.618,1.21035e-158,1.21035e-158
702.815,5.90735e-306,5.90748e-306
728.201,5.57415e-317,0.0
713.211,1.80556e-310,0.0
1197.1,0.0,0.0
1217.06,0.0,0.0
591.646,1.12543e-257,1.12543e-257
595.585,2.19063e-259,2.19063e-259
858.032,0.0,0.0
1055.58,0.0,0.0
744.145,5e-324,0.0
593.8,1.30624e-258,1.30624e-258
812.553,0.0,0.0
786.675,0.0,0.0
1167.62,0.0,0.0
791.21,0.0,0.0
1240.94,0.0,0.0
542.897,1.6702e-236,1.6702e-236
892.729,0.0,0.0
834.183,0.0,0.0
910.22,0.0,0.0
881.721,0.0,0.0
636.505,3.70845e-277,3.70845e-277
520.777,6.75354e-227,6.75354e-227
512.706,2.16115e-223,2.16115e-223
557.732,6.02491e-243,6.02491e-243
823.697,0.0,0.0
923.188,0.0,0.0
900.824,0.0,0.0
737.265,6.457e-321,0.0
619.696,7.4001e-270,7.4001e-270
908.079,0.0,0.0
1320.72,0.0,0.0
610.897,4.9083e-266,4.9083e-266
1298.39,0.0,0.0
778.891,0.0,0.0
1147.27,0.0,0.0
527.04,1.28669e-229,1.28669e-229
1173.77,0.0,0.0
886.046,0.0,0.0
714.198,6.72312e-311,0.0
1076.67,0.0,0.0
1103.07,0.0,0.0
594.023,1.04466e-258,1.04466e-258
870.223,0.0,0.0
1298.32,0.0,0.0
703.446,3.14407e-306,0.0
573.057,1.33213e-249,1.33213e-249
481.978,4.78014e-210,4.78014e-210
910.867,0.0,0.0
837.616,0.0,0.0
915.375,0.0,0.0
1259.28,0.0,0.0
486.534,5.02232e-212,5.02232e-212
1677.71,0.0,0.0
606.425,4.29539e-264,4.29539e-264
450.671,1.88778e-196,1.88778e-196
2176.97,0.0,0.0
1004.66,0.0,0.0
861.975,0.0,0.0
833.936,0.0,0.0
757.413,0.0,0.0
968.967,0.0,0.0
844.191,0.0,0.0
590.607,3.18047e-257,3.18047e-257
961.545,0.0,0.0
393.874,8.76804e-172,8.76804e-172
931.542,0.0,0.0
1203.07,0.0,0.0
804.221,0.0,0.0
809.627,0.0,0.0
731.916,1.35801e-318,0.0
1169.1,0.0,0.0
946.514,0.0,0.0
705.676,3.3798e-307,0.0
654.162,7.96613e-285,7.96613e-285
1114.25,0.0,0.0
560.85,2.6661e-244,2.6661e-244
515.035,2.10508e-224,2.10508e-224
1608.23,0.0,0.0
472.673,5.25906e-206,5.25906e-206
1395.0,0.0,0.0
463.976,3.14529e-202,3.14529e-202
499.113,1.73017e-217,1.73017e-217
1324.35,0.0,0.0
1002.22,0.0,0.0
821.653,0.0,0.0
836.577,0.0,0.0
981.485,0.0,0.0
461.283,4.64936e-201,4.64936e-201
1190.08,0.0,0.0
656.828,5.53449e-286,5.53776e-286
559.29,1.26858e-243,1.26858e-243
721.778,3.43421e-314,0.0
1121.23,0.0,0.0
809.693,0.0,0.0
755.783,0.0,0.0
574.283,3.9108e-250,3.9108e-250
611.116,3.94311e-266,3.94311e-266
988.983,0.0,0.0
590.005,5.81104e-257,5.81104e-257
418.319,2.12107e-182,2.12107e-182
373.913,4.09007e-163,4.09007e-163
461.508,3.71364e-201,3.71364e-201
1098.13,0.0,0.0
1136.08,0.0,0.0
951.785,0.0,0.0
949.051,0.0,0.0
904.048,0.0,0.0
643.189,4.64007e-280,4.64007e-280
705.391,4.49414e-307,0.0
763.688,0.0,0.0
1066.61,0.0,0.0
744.865,5e-324,0.0
1279.84,0.0,0.0
932.222,0.0,0.0
969.704,0.0,0.0
714.971,3.10463e-311,0.0
967.852,0.0,0.0
1659.29,0.0,0.0
1330.57,0.0,0.0
934.759,0.0,0.0
1024.38,0.0,0.0
501.066,2.45399e-218,2.45399e-218
917.251,0.0,0.0
1070.37,0.0,0.0
749.958,0.0,0.0
1070.07,0.0,0.0
851.327,0.0,0.0
949.971,0.0,0.0
