mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
10.556,3.10522,4.50077,2.19352,2.19352,2.42446
10.9281,3.48637,6.05774,2.49283,2.49283,2.68289
11.0328,3.23789,5.89429,2.79577,2.79577,2.79146
10.565,3.23491,4.73882,2.70626,2.70626,2.95892
10.7643,3.35526,4.22219,2.50616,2.50616,3.05712
10.4209,3.13003,5.20752,2.02393,2.02393,2.20509
10.8753,3.26301,4.38646,2.60727,2.60727,2.90096
10.5703,3.18741,5.94679,3.10036,3.10036,3.05759
10.4659,3.18536,3.5422,1.50134,1.50134,2.08147
10.4703,3.13577,6.91703,3.40347,3.40347,3.09051
10.7554,3.29224,4.41806,1.28706,1.28706,2.02622
10.5583,3.02535,4.36236,2.76005,2.76005,3.17967
10.5056,2.97252,4.17302,2.45291,2.45291,2.94571
10.7047,3.10291,4.71555,2.53586,2.53586,2.92056
10.7454,3.109,5.93779,3.06795,3.06795,3.29092
10.8039,3.04638,5.8775,2.98653,2.98653,3.33195
10.831,3.51669,4.66115,2.45867,2.45867,2.46186
10.881,3.48457,4.23011,2.31814,2.31814,2.35204
10.7948,3.4932,4.39793,2.24544,2.24544,2.40045
10.9088,3.49324,4.57747,2.54478,2.54478,2.84133
11.0445,3.30383,5.72861,2.52939,2.52939,2.56708
11.1299,3.19223,5.36698,2.49645,2.49645,2.62299
10.9404,3.28372,5.11083,2.28047,2.28047,2.43093
10.3393,2.98405,5.17128,3.08424,3.08424,3.26764
10.4259,3.18194,5.90551,2.51069,2.51069,2.42453
10.5009,3.08665,4.82961,1.82323,1.82323,1.74203
10.4256,2.98023,4.89286,3.05041,3.05041,3.63515
10.3911,2.84949,5.22454,2.91579,2.91579,3.07425
10.6039,3.32793,4.9666,2.34908,2.34908,2.51895
10.8748,3.27751,4.6838,1.98276,1.98276,2.34044
10.459,3.12245,5.04358,2.51168,2.51168,2.71726
10.6201,2.99231,4.87497,2.4735,2.4735,2.61743
10.8335,3.33654,3.9944,1.90311,1.90311,2.39558
10.934,3.15385,5.76798,2.37346,2.37346,2.4752
10.7657,3.22873,5.46088,2.23308,2.23308,2.51932
10.5442,3.12411,4.04256,2.03344,2.03344,2.24245
10.6914,3.15035,4.57991,2.30923,2.30923,2.46876
10.7644,3.27367,5.6763,3.07118,3.07118,2.89814
10.3784,2.99745,4.78855,2.35209,2.35209,2.87279
9.88277,2.49608,4.65973,2.30507,2.30507,2.63067
11.0762,3.76131,4.98715,2.53059,2.53059,3.03042
11.2836,3.49024,4.97609,2.41503,2.41503,2.77933
10.6965,3.22457,5.21064,2.40036,2.40036,2.66984
10.6761,3.35393,5.13513,2.22341,2.22341,2.32954
10.8223,3.21188,4.87473,2.09214,2.09214,2.21418
10.4981,3.03223,5.33188,2.05134,2.05134,2.36464
10.4696,3.00955,4.19484,2.0485,2.0485,2.62819
10.8485,3.30712,4.70916,2.57577,2.57577,2.72492
10.772,3.04832,4.94688,2.4613,2.4613,2.56303
10.5612,3.17093,3.79833,1.6358,1.6358,2.11594
10.5487,3.1411,3.92585,1.78581,1.78581,2.21142
10.9523,3.07316,5.72714,2.86872,2.86872,2.91975
11.0447,3.34485,5.22393,2.6793,2.6793,2.67543
11.29,3.33907,6.00834,2.91152,2.91152,3.12469
11.0506,3.35014,5.54526,2.61452,2.61452,2.69871
10.8403,3.39905,4.99087,2.73187,2.73187,2.89607
10.7694,3.16397,5.11296,2.64572,2.64572,2.68093
10.6157,3.2211,5.15456,2.73117,2.73117,2.48835
10.6224,2.90669,5.05835,2.33418,2.33418,2.78979
10.6965,2.77672,4.80388,2.14623,2.14623,2.67535
10.7922,3.35072,4.37956,1.98574,1.98574,2.20075
10.7259,3.10402,4.89377,2.58751,2.58751,3.17174
10.6614,3.27527,5.19798,2.56088,2.56088,2.57385
10.8634,3.45818,4.77424,2.21071,2.21071,2.39134
10.8654,3.25862,5.6703,2.49411,2.49411,2.88846
10.5726,3.11541,3.80246,1.87901,1.87901,2.19391
10.8147,3.55402,3.85865,1.84102,1.84102,2.07578
10.0973,3.07891,5.3022,2.91718,2.91718,3.21749
11.0887,3.38712,3.983,1.51275,1.51275,1.95359
10.4768,3.00362,5.02688,2.60999,2.60999,2.89333
10.6812,3.10158,3.87013,1.96455,1.96455,2.29029
10.8323,3.44868,4.48707,1.83894,1.83894,2.11576
10.5439,3.02351,4.57379,2.43041,2.43041,2.86053
10.7657,3.18036,4.0698,2.25205,2.25205,2.49912
11.0211,3.2567,5.23243,2.25977,2.25977,2.27571
10.6962,3.19292,4.99205,2.82642,2.82642,2.76175
10.5949,3.15503,3.97495,2.12902,2.12902,2.17511
10.7854,3.20866,3.89936,2.11069,2.11069,2.6232
10.4776,3.23302,3.84611,1.68163,1.68163,2.23923
10.8408,3.18714,4.03258,2.09591,2.09591,2.44869
10.3776,3.08204,5.17886,2.76496,2.76496,3.05116
10.5843,3.12335,6.11459,3.24255,3.24255,2.96314
10.723,3.20794,6.58696,3.46687,3.46687,2.90487
10.523,3.15437,4.16516,1.99661,1.99661,2.43743
10.4667,3.14866,3.85768,2.03378,2.03378,2.47511
10.4414,3.04322,4.96836,2.55997,2.55997,2.92716
10.8515,3.22057,4.84435,2.40625,2.40625,2.53562
10.4336,2.93527,4.45474,2.27171,2.27171,2.56811
10.4525,2.73165,3.89009,2.218,2.218,2.78169
10.3117,3.04426,4.29445,1.67843,1.67843,2.1204
10.934,3.30188,4.50744,2.57804,2.57804,2.76098
10.7115,3.29434,4.80024,2.33685,2.33685,2.71772
10.3162,3.0264,5.1216,2.27212,2.27212,2.34751
10.7616,3.4658,5.10234,1.90861,1.90861,2.40743
10.8174,3.31314,4.56708,1.84996,1.84996,2.27747
10.769,3.26601,4.6109,2.54126,2.54126,2.78556
10.4713,2.96585,5.29877,2.24515,2.24515,2.31454
10.5363,2.97307,4.69191,2.34319,2.34319,2.38752
10.5695,3.03046,4.99461,2.72189,2.72189,3.05079
