,datetime,measured_from,precise,lat,lng,ghpe
0,2024:04:27 13:37:25,P3,on,45.82836666666667,15.220605555555556,4.7283314304354915
1,2024:04:27 13:34:38,P2,on,45.828425,15.220233333333333,3.5355339046563916
2,2024:04:27 13:35:11,P2,on,45.828430555555556,15.220286111111111,4.765481151274348
3,2024:04:27 13:38:05,P3,off,45.80892222222222,15.227494444444444,3335.101204819277
4,2024:04:27 13:35:07,P2,on,45.82843333333334,15.220283333333333,4.75738616614529
5,2024:04:27 13:32:45,P1,on,45.828472222222224,15.22048888888889,4.7548798506882335
6,2024:04:27 13:34:34,P2,on,45.828425,15.220222222222223,4.342619462178371
7,2024:04:27 13:34:41,P2,on,45.828430555555556,15.220241666666666,3.5355339046563916
8,2024:04:27 13:33:06,P1,on,45.828472222222224,15.22048888888889,4.749662678780246
9,2024:04:27 13:35:56,P2,off,45.80892222222222,15.227494444444444,3335.101204819277
10,2024:04:27 13:35:51,P2,off,45.80892222222222,15.227494444444444,3335.101204819277
11,2024:04:27 13:33:11,P1,on,45.828475000000005,15.22048888888889,4.754206515624201
12,2024:04:27 13:32:54,P1,on,45.82846388888889,15.22048611111111,4.7523579826865925
13,2024:04:27 13:34:53,P2,on,45.828430555555556,15.220247222222222,4.592671694587199
14,2024:04:27 13:33:45,P1,off,45.80892222222222,15.227494444444444,3335.101204819277
15,2024:04:27 13:34:32,P2,on,45.828430555555556,15.220219444444444,4.613152985074627
16,2024:04:27 13:37:13,P3,on,45.82836666666667,15.220605555555556,4.745352767215885
17,2024:04:27 13:36:35,P3,on,45.828425,15.22028888888889,3.5355339046563916
18,2024:04:27 13:33:07,P1,on,45.82846944444445,15.22048888888889,4.74344745154956
19,2024:04:27 13:33:57,P1,off,45.80892222222222,15.227494444444444,3335.101204819277
20,2024:04:27 13:35:09,P2,on,45.82843333333334,15.22028888888889,4.758234552332913
21,2024:04:27 13:36:41,P3,on,45.828408333333336,15.220336111111111,3.5355339046563916
22,2024:04:27 13:37:13,P3,on,45.82836666666667,15.220605555555556,4.7374878817256425
23,2024:04:27 13:36:40,P3,on,45.82841388888889,15.220316666666667,3.5355339046563916
24,2024:04:27 13:34:42,P2,on,45.828430555555556,15.220241666666666,3.5355339046563916
25,2024:04:27 13:37:19,P3,on,45.82836666666667,15.220605555555556,4.730183522061695
26,2024:04:27 13:34:59,P2,on,45.82843333333334,15.22025,4.592671694587199
