measured_from,datetime,lat,lng,precise
P1,2024:04:27 13:32:27,45.828472222222224,15.220483333333334,on
P1,2024:04:27 13:32:28,45.828475000000005,15.220475,on
P1,2024:04:27 13:32:28,45.828475000000005,15.220480555555556,on
P1,2024:04:27 13:32:29,45.828475000000005,15.220475,on
P1,2024:04:27 13:32:30,45.828475000000005,15.220475,on
P1,2024:04:27 13:32:30,45.828475000000005,15.220475,on
P1,2024:04:27 13:32:31,45.82848055555556,15.220477777777775,on
P1,2024:04:27 13:32:32,45.82848055555556,15.220477777777775,on
P1,2024:04:27 13:32:32,45.828475000000005,15.220480555555556,on
P1,2024:04:27 13:32:33,45.828472222222224,15.220483333333334,on
P1,2024:04:27 13:32:34,45.828472222222224,15.220483333333334,on
P1,2024:04:27 13:32:34,45.828472222222224,15.22048611111111,on
P1,2024:04:27 13:32:35,45.828472222222224,15.220483333333334,on
P1,2024:04:27 13:32:36,45.828472222222224,15.220483333333334,on
P1,2024:04:27 13:32:36,45.828472222222224,15.220483333333334,on
P1,2024:04:27 13:32:37,45.828472222222224,15.220483333333334,on
P1,2024:04:27 13:32:38,45.828475000000005,15.22048888888889,on
P1,2024:04:27 13:32:38,45.828475000000005,15.22048888888889,on
P1,2024:04:27 13:32:39,45.828475000000005,15.22048888888889,on
P1,2024:04:27 13:32:39,45.828475000000005,15.220494444444444,on
P1,2024:04:27 13:32:40,45.828475000000005,15.220491666666668,on
P1,2024:04:27 13:32:40,45.828475000000005,15.220494444444444,on
P1,2024:04:27 13:32:41,45.828475000000005,15.220491666666668,on
P1,2024:04:27 13:32:42,45.828475000000005,15.220491666666668,on
P1,2024:04:27 13:32:42,45.828475000000005,15.220491666666668,on
P1,2024:04:27 13:32:43,45.828475000000005,15.22048888888889,on
P1,2024:04:27 13:32:43,45.828475000000005,15.220491666666668,on
P1,2024:04:27 13:32:44,45.828472222222224,15.22048888888889,on
P1,2024:04:27 13:32:44,45.828475000000005,15.22048888888889,on
P1,2024:04:27 13:32:45,45.828472222222224,15.22048888888889,on
P1,2024:04:27 13:32:46,45.828472222222224,15.220491666666668,on
P1,2024:04:27 13:32:46,45.828472222222224,15.220491666666668,on
P1,2024:04:27 13:32:47,45.828475000000005,15.220491666666668,on
P1,2024:04:27 13:32:47,45.828472222222224,15.220491666666668,on
P1,2024:04:27 13:32:48,45.828475000000005,15.220491666666668,on
P1,2024:04:27 13:32:48,45.828472222222224,15.220491666666668,on
P1,2024:04:27 13:32:49,45.828472222222224,15.220491666666668,on
P1,2024:04:27 13:32:50,45.828472222222224,15.220491666666668,on
P1,2024:04:27 13:32:50,45.82846944444445,15.220491666666668,on
P1,2024:04:27 13:32:51,45.82846944444445,15.220491666666668,on
