measured_from,lat,lng,distance,angle_rad,angle_deg
P1,46.5213444444444,6.57393055555556,28.56732009929326,2.8737848966141155,164.65574580442845
P1,46.5214083333333,6.573775,20.910189541196154,3.352463445004047,192.08200637062026
P1,46.5213805555556,6.57384444444444,23.554071953215605,3.101168218508247,177.68385048062683
P1,46.5213611111111,6.57388888888889,26.063940749783317,2.973434575308511,170.36525182345204
P1,46.5213861111111,6.573825,22.923629429375396,3.1651565482748896,181.35011171434678
P1,46.5213472222222,6.5739,27.734877350157678,2.9524428545567583,169.1625148196594
P1,46.5213361111111,6.573925,29.35517676852026,2.8961413473338258,165.93667607556006
P1,46.5213611111111,6.57390833333333,26.35473709884058,2.9175910670199565,167.165654485314
P1,46.5213777777778,6.57384444444444,23.862604907713134,3.1016911659698345,177.71381316308288
P1,46.5213861111111,6.573825,22.923629429375396,3.1651565482748896,181.35011171434678
P1,46.5213611111111,6.57393888888889,26.972597942756988,2.8327355202484945,162.30378978703428
P1,46.5213555555556,6.573975,28.508852977711545,2.7466185079013776,157.3696484352685
P1,46.5213777777778,6.57393888888889,25.213861896183055,2.8103983143271463,161.0239621616264
P1,46.5213861111111,6.57392777777778,24.065922134285852,2.8313850664443962,162.22641448363206
P1,46.5213777777778,6.57385555555556,23.911795241536282,3.0660566575609947,175.6721062262329
P1,46.5213777777778,6.57385,23.883408643766394,3.0838555645381507,176.69190847596988
P1,46.5213916666667,6.57386388888889,22.433221329903905,3.0324339533107225,173.74566717687574
P1,46.5213972222222,6.57386944444444,21.87128676228959,3.009981045212046,172.45921030502646
P1,46.5213861111111,6.57389166666667,23.369533050623428,2.944535850796663,168.70947687561187
P1,46.5213694444444,6.573925,25.776581081871406,2.8612040000261945,163.93491352745002
P1,46.5213388888889,6.57394444444444,29.457562924349578,2.8444393968868407,162.9743725223533
P1,46.5213972222222,6.57389722222222,22.251555188892223,2.914876996858963,167.01014971978668
P1,46.5214,6.57389444444444,21.9032010660677,2.921190458108241,167.3718844034897
P1,46.5213972222222,6.57383055555556,21.68243648959164,3.1468424734823945,180.3007925230499
P1,46.5213916666667,6.57380833333333,22.37376634599553,3.2229828167960517,184.66331284559956
P1,46.5213888888889,6.57379722222222,22.765782002293257,3.2592142684796963,186.73922211270457
P1,46.5213916666667,6.57380555555556,22.39210286539474,3.232470241522318,185.2069022408627
P1,46.5213777777778,6.57388055555556,24.132487693743883,2.986709211145336,171.1258324314752
P1,46.5213694444444,6.57390555555556,25.404188086765366,2.917671748583751,167.17027719840394
P1,46.5213611111111,6.57385277777778,25.74553043418481,3.0797429340056124,176.4562721037588
P1,46.5213666666667,6.57380833333333,25.14461944047578,3.2139972409014024,184.1484772703417
P1,46.5213666666667,6.57379722222222,25.220635615964067,3.247720059749373,186.08065246361463
P1,46.5214833333333,6.57366388888889,17.69534326374515,3.958671261637701,226.81515577156915
P1,46.5214888888889,6.57366111111111,17.438317879338875,3.9928648759068297,228.77430555548852
P1,46.5213555555556,6.57389444444444,26.74601823057826,2.96158506685451,169.68632499973316
P1,46.5213472222222,6.57390555555556,27.818181057400118,2.937391379834909,168.3001288426496
P1,46.5213444444444,6.57390833333333,28.164149163347286,2.9322038595628035,168.0029058249194
P1,46.5213916666667,6.57371944444444,23.91485182900179,3.5112195423703536,201.17806072167758
P1,46.5214083333333,6.57373611111111,21.73157047717138,3.4871422111236114,199.7985312593008
P1,46.5214111111111,6.57374166666667,21.298714313826423,3.4732205025832417,199.0008761163264
P1,46.5214,6.57383888888889,21.37981758109506,3.117005827268363,178.5912786201609
P1,46.5214,6.57384722222222,21.40508499907963,3.087137267727249,176.87993621831984
P1,46.5213972222222,6.57381111111111,21.741523318490042,3.2155208869427803,184.23577575798444
P1,46.5213916666667,6.57381111111111,22.357446907277147,3.213480685303681,184.11888081470838
P1,46.5214194444444,6.57373333333333,20.65092256683975,3.5171163059989796,201.5159203903841
P1,46.5213916666667,6.573825,22.306241717645793,3.1658088683853225,181.3874869035661
P1,46.5214277777778,6.57383611111111,18.288205731265716,3.1245063304294565,179.02102579551607
P1,46.5214361111111,6.57383888888889,17.367145852767127,3.111323498893339,178.2657051864646
P1,46.52135,6.57387777777778,27.15915264336516,3.012004852224417,172.5751659053843
P1,46.52135,6.57388055555556,27.187517966063243,3.0042306626872715,172.1297376557711
P1,46.52135,6.573875,27.13243213236446,3.0197948256564935,173.0214985055613
P1,46.5213555555556,6.573875,26.519549369730225,3.016965521429654,172.8593913144049
P1,46.5214,6.57381944444444,21.395193004362714,3.1867775836672543,182.58890579103226
P1,46.5214,6.57381666666667,21.40587971095308,3.1967249307660275,183.15884679714367
P1,46.5214166666667,6.57388055555556,19.872480368429407,2.9531451171998992,169.20275150522107
P1,46.5214166666667,6.57388333333333,19.91351040992851,2.942630843833418,168.6003280166749
P1,46.521375,6.57386944444444,24.32233940282304,3.02330973748257,173.2228881185561
P1,46.5213611111111,6.57386944444444,25.856103412977593,3.0303561741305063,173.6266191990892
P1,46.5213583333333,6.57386666666667,26.140474876974142,3.039771041974766,174.16605139123868
P1,46.5213972222222,6.57374166666667,22.764053106241846,3.4511370293689083,197.73558630415488
P1,46.5214083333333,6.57388333333333,20.82238671091209,2.9514240543135286,169.10414186555545
P1,46.521375,6.573825,24.15843185884098,3.1639519326379006,181.28109232241184
P1,46.5213861111111,6.57383611111111,22.919395511270114,3.127959095593129,179.21885466704433
P1,46.5213888888889,6.57383888888889,22.61459245598245,3.1183485317656667,178.66820992098963
P1,46.5213888888889,6.57384166666667,22.62055005423068,3.1089282758057712,178.12846901255466
