log_likelihood_ratio,likelihood_ratio,prob_A
424.769,2.98554e+184,1.0
1868.04,inf,
448.286,2.05023e-195,
687.698,2.17069e-299,
576.82,3.23298e+250,
471.314,4.88498e+204,
4857.0,inf,
2531.54,inf,1.0
2321.86,inf,
13588.4,inf,
8190.0,inf,
8600.25,inf,
5864.28,inf,
9565.78,inf,
5919.27,inf,
8288.02,inf,
7250.06,inf,
6392.56,inf,
7967.62,inf,
9754.79,inf,
5149.03,inf,
8459.43,inf,
6051.57,inf,1.0
3649.56,inf,
3007.34,inf,
765.387,inf,
6316.79,inf,
9457.97,inf,
3710.64,inf,
4018.12,inf,
6217.02,inf,1.0
2215.65,inf,
6195.05,inf,1.0
1278.19,inf,
847.444,inf,1.0
6610.18,inf,1.0
4520.44,inf,
3005.64,inf,
5103.88,inf,
3452.71,inf,
1680.93,inf,
715.489,inf,
277.606,3.65232e+120,
3637.58,inf,
1394.62,inf,
1892.45,inf,
1101.87,inf,
2622.31,inf,
2019.26,inf,
3077.71,inf,
2207.79,inf,
5499.62,inf,
2671.64,inf,
19759.1,inf,
230.676,1.51841e+100,
3849.15,inf,
278.498,8.91728e+120,
2224.48,inf,
1128.65,inf,
6507.83,inf,
68.3239,4.70636e+29,
177.965,1.94576e+77,
15202.2,inf,
161.151,9.70111e+69,
4.79788,121.253,
1035.4,0.0,0.0
3773.1,inf,
392.609,3.10403e-171,
352.702,1.50148e+153,
4727.9,inf,
6930.85,inf,
3482.77,inf,
1081.38,inf,
1934.75,inf,
3257.49,inf,
1988.53,inf,
5789.16,inf,
7842.25,inf,
7627.39,inf,
11883.0,inf,
7681.86,inf,
4031.17,inf,
6376.12,inf,
3923.58,inf,1.0
3636.43,inf,
1471.88,inf,
6105.07,inf,1.0
10002.5,inf,
1276.33,inf,
64.1595,1.36734e-28,
237.576,1.50573e+103,
83.194,7.40131e-37,
4664.39,inf,
16778.9,inf,
8924.04,inf,
1923.49,inf,
5132.23,inf,
11415.8,inf,
6456.25,inf,
1875.95,inf,
1414.25,inf,
1209.77,inf,
5464.78,inf,
3098.31,inf,
2841.44,inf,
257.456,6.48129e+111,
1132.0,inf,
566.331,9.00439e+245,
679.172,1.09446e-295,
13730.8,inf,
727.282,inf,
2437.24,inf,
4114.57,inf,
5723.26,inf,
9481.58,inf,
779.987,inf,
5150.39,inf,
2862.0,inf,
2560.03,inf,
390.63,4.45048e+169,
3572.12,inf,
3640.52,inf,
1164.37,inf,
830.446,inf,
952.394,inf,
495.769,2.04108e+215,
3260.76,inf,
6516.78,inf,
823.583,0.0,0.0
3266.93,inf,
6951.04,inf,
9015.28,inf,1.0
7734.24,inf,
6688.16,inf,1.0
15394.7,inf,
12983.7,inf,
4866.54,inf,
5062.99,inf,
8893.55,inf,
3723.5,inf,
2941.77,inf,
2795.97,inf,
18350.0,inf,
2095.91,inf,
982.61,inf,
4768.98,inf,1.0
5328.6,inf,
8146.54,inf,
6711.83,inf,
3322.1,inf,
511.396,8.00986e-223,0.0
118.274,4.3099e-52,
73.4926,1.20934e-32,
12654.6,inf,
19223.8,inf,
168.692,5.46913e-74,
5421.61,inf,
201.852,4.607e+87,
5245.5,inf,
6340.09,inf,
1496.8,inf,
4725.96,inf,
1461.7,inf,
554.493,6.50356e+240,
892.429,inf,
2508.87,inf,
867.457,inf,
8.2059,0.000273037,
11257.5,inf,
1489.98,inf,
179.275,7.21686e+77,
4238.74,inf,1.0
2783.34,inf,1.0
2039.39,inf,
4187.44,inf,
16496.0,inf,
4297.61,inf,
1387.1,inf,1.0
6352.25,inf,
8090.32,inf,
85.639,6.41876e-38,
7603.0,inf,
14874.8,inf,
7192.78,inf,
2848.88,inf,
14158.9,inf,
5304.36,inf,
5068.66,inf,
7630.71,inf,
4052.34,inf,
6960.44,inf,
10818.4,inf,
8452.15,inf,1.0
8873.19,inf,
6490.23,inf,
4189.23,inf,
1520.94,inf,
306.934,5.0142e-134,
1324.87,inf,
10666.6,inf,
9821.64,inf,
9333.52,inf,1.0
6843.92,inf,
3218.77,inf,
3934.65,inf,
2123.75,inf,
2691.77,inf,
2517.99,inf,1.0
2176.03,inf,
2075.7,inf,
3454.13,inf,
4709.71,inf,
10307.3,inf,
10255.9,inf,
3730.13,inf,
6345.21,inf,
4650.66,inf,
8187.03,inf,
1069.62,inf,
640.478,1.43239e+278,
2302.53,inf,
1296.05,inf,
728.3,inf,
18201.4,inf,
872.496,inf,
1683.03,inf,
15138.7,inf,
3747.13,inf,
1910.43,inf,
13674.8,inf,
6698.6,inf,
5195.3,inf,
2084.39,inf,
3807.48,inf,
4379.86,inf,
7376.38,inf,
2950.11,inf,
5364.4,inf,
13346.9,inf,
1038.38,inf,
