mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
0.531082,3.06788,0.0803399,0.0668338,0.0668338,2.8533
0.580082,3.06767,0.0759087,0.108385,0.108385,3.58355
0.49386,2.81538,0.0724401,0.0684497,0.0684497,2.47164
0.548083,3.09175,0.0822521,0.0738476,0.0738476,3.1078
0.514793,2.76245,0.0651543,0.0884401,0.0884401,2.81859
0.553474,2.926,0.0874484,0.0916258,0.0916258,3.26946
0.503838,2.90225,0.0664535,0.0879156,0.0879156,2.69186
0.528786,2.80724,0.083973,0.0955155,0.0955155,3.52595
0.52926,3.01563,0.0672141,0.0750355,0.0750355,2.69428
0.58118,2.99408,0.0691397,0.088314,0.088314,2.54373
0.556752,2.94864,0.0726869,0.118361,0.118361,2.59371
0.496248,2.69993,0.0781706,0.0672424,0.0672424,3.54854
0.51811,3.35488,0.0720446,0.044908,0.044908,2.76809
0.534041,2.94373,0.0682926,0.0995756,0.0995756,3.97824
0.529451,2.92814,0.0635375,0.111329,0.111329,4.66906
0.523552,2.96794,0.0792878,0.135795,0.135795,3.42666
0.524549,3.00215,0.0789655,0.112684,0.112684,3.19216
0.538346,2.81726,0.0637182,0.0710059,0.0710059,2.79675
0.539762,3.2183,0.0749311,0.0889173,0.0889173,3.02634
0.559294,2.96632,0.0703289,0.136249,0.136249,2.87366
0.490927,2.95856,0.0880654,0.0622162,0.0622162,3.54576
0.520162,2.86423,0.0895465,0.0736797,0.0736797,2.59511
0.546983,2.83454,0.112711,0.0743923,0.0743923,2.5516
0.536029,3.07066,0.0701147,0.12811,0.12811,2.99398
0.53113,2.68338,0.0854065,0.0692395,0.0692395,3.22458
0.514621,2.33359,0.0753182,0.0770416,0.0770416,2.94528
0.52053,3.26757,0.0642757,0.0854243,0.0854243,2.69866
0.471464,2.91941,0.0718685,0.0614308,0.0614308,3.05977
0.563868,3.05401,0.0825097,0.0919388,0.0919388,3.32757
0.509188,3.32751,0.101747,0.068037,0.068037,3.11554
0.547854,3.0463,0.0687354,0.0942757,0.0942757,3.37175
0.524558,2.8236,0.0829718,0.0832249,0.0832249,2.70367
0.486703,3.1879,0.0650627,0.041895,0.041895,3.10363
0.570736,2.68285,0.0868734,0.0462808,0.0462808,3.31129
0.526655,3.18425,0.0815236,0.181474,0.181474,2.90568
0.561784,2.69156,0.0757077,-0.0152497,-0.0152497,3.37285
0.503572,2.93799,0.0737313,0.0299882,0.0299882,2.82679
0.493767,3.22381,0.0948852,0.110669,0.110669,3.76012
0.557359,2.86703,0.0856059,0.173518,0.173518,2.94333
0.512675,2.86661,0.0647219,0.0181653,0.0181653,3.41413
0.539345,2.98535,0.0832008,0.183857,0.183857,3.06932
0.538644,2.85454,0.0615056,0.0250765,0.0250765,3.49357
0.508745,2.80597,0.0743206,0.122692,0.122692,4.23178
0.527079,2.67527,0.0921464,0.0952776,0.0952776,3.94882
0.485952,2.62044,0.0872275,0.120329,0.120329,3.62857
