mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
2.10789,2.08839,1.64603,1.85305,1.85305,2.41989
2.2168,2.14381,1.75901,1.96553,1.96553,2.60882
2.21368,2.17374,1.87152,2.12187,2.12187,2.86339
2.24279,2.23999,1.69244,1.91929,1.91929,2.60543
2.18337,2.14978,1.58487,1.76166,1.76166,2.38206
2.22469,2.23746,1.34157,1.51636,1.51636,2.22301
2.0853,2.0516,1.339,1.41126,1.41126,2.0475
1.92443,1.84773,1.44186,1.58492,1.58492,2.19621
1.84523,1.91829,1.45159,1.52949,1.52949,2.08505
1.97886,1.85017,1.14541,1.31047,1.31047,1.96634
2.13854,2.02709,1.48482,1.72571,1.72571,2.3546
2.13471,2.14442,1.3779,1.4686,1.4686,1.98558
2.18209,2.18222,1.39869,1.50303,1.50303,2.02266
2.07489,1.99484,1.32878,1.48468,1.48468,2.13509
2.19487,2.15987,1.27546,1.38296,1.38296,1.9389
2.00504,1.95847,1.35508,1.49517,1.49517,1.96832
1.96622,1.9132,1.40857,1.55025,1.55025,2.0979
1.92159,1.79595,1.35573,1.63503,1.63503,2.4
2.35944,2.33984,1.57541,1.93035,1.93035,2.77972
2.17586,2.05703,1.80695,2.07295,2.07295,2.9655
2.11492,1.96266,1.2019,1.20122,1.20122,1.6524
1.99334,1.8716,1.49248,1.55131,1.55131,2.00283
2.17729,2.12043,1.21811,1.27269,1.27269,1.8239
2.03659,1.97009,1.6476,1.87559,1.87559,2.65381
1.9662,1.94392,1.65212,1.89871,1.89871,2.69117
1.92066,1.85358,1.5611,1.78904,1.78904,2.44034
1.91582,1.8773,1.42881,1.59682,1.59682,2.25832
1.96255,1.86446,1.68825,1.96889,1.96889,2.70822
2.04989,2.01672,1.68862,1.89023,1.89023,2.58166
2.1607,2.01236,1.28879,1.40377,1.40377,2.09768
2.18254,1.97464,1.30594,1.42216,1.42216,2.11157
2.04485,2.0756,1.29195,1.4282,1.4282,1.91887
2.13136,1.97166,1.35514,1.46931,1.46931,1.92649
2.03509,2.03086,1.33394,1.51094,1.51094,2.05781
2.06197,1.99297,1.23609,1.51977,1.51977,2.21147
2.0258,1.93917,1.30821,1.36004,1.36004,1.74161
2.13431,2.12198,1.30995,1.38781,1.38781,1.81616
2.14518,2.09156,1.25107,1.39519,1.39519,1.92072
2.10749,2.06906,1.32227,1.41542,1.41542,1.85796
2.13141,2.08022,1.25777,1.45309,1.45309,2.04088
1.99246,1.8499,1.22221,1.28082,1.28082,1.74629
2.01995,1.99085,1.31366,1.40333,1.40333,1.92357
2.06609,1.9425,1.33422,1.477,1.477,2.04973
2.01586,2.01535,1.35549,1.52268,1.52268,2.13516
2.20744,2.28137,1.37193,1.46239,1.46239,1.93867
1.88944,1.93323,1.30481,1.45985,1.45985,2.17571
1.89938,1.95866,1.31031,1.37898,1.37898,1.7949
1.95429,1.9269,1.28973,1.36565,1.36565,1.80361
1.98794,1.90743,1.2885,1.36813,1.36813,1.80915
1.9559,1.9103,1.18556,1.33919,1.33919,1.85584
2.15683,2.01677,1.60852,1.79562,1.79562,2.52544
2.12082,2.06244,1.52681,1.82702,1.82702,2.68829
1.91939,1.81017,1.62611,1.80457,1.80457,2.43701
2.3707,2.38416,1.29771,1.47866,1.47866,2.10631
2.10458,1.99317,1.29998,1.36661,1.36661,1.85251
2.09542,1.9887,1.22525,1.22727,1.22727,1.64546
2.0199,1.88021,1.18074,1.22548,1.22548,1.67852
1.94554,1.8796,1.21458,1.18291,1.18291,1.56736
2.26028,2.24546,1.66404,1.73264,1.73264,2.22692
2.0267,2.02123,1.15993,1.35048,1.35048,2.00674
