log_likelihood_ratio,likelihood_ratio,prob_A
6304.66,0.0,
1641.58,0.0,
7115.64,0.0,
3601.79,0.0,
627.403,3.32857e-273,
1807.06,0.0,
3958.02,0.0,
3661.32,0.0,
1866.11,0.0,
62.6966,5.905e-28,
272.514,4.45469e-119,
5683.36,0.0,
3900.2,0.0,
725.081,1.26324e-315,
2946.18,0.0,
2191.4,0.0,
5950.6,0.0,
1665.38,0.0,
2864.06,0.0,
3076.95,0.0,
1514.78,0.0,
3013.49,0.0,0.0
5351.54,0.0,
86.2659,3.42906e-38,
914.074,inf,1.0
209.26,7.59065e+90,
1742.1,0.0,
1111.28,0.0,
35.5239,3.73382e-16,
866.797,0.0,
8610.22,0.0,
3129.9,0.0,
2380.8,0.0,
3994.33,0.0,
3090.97,0.0,
2171.93,0.0,
3826.75,0.0,0.0
4795.74,0.0,
7684.33,0.0,
291.947,1.61858e-127,
4407.08,0.0,
5496.69,0.0,
3432.18,0.0,
7317.29,0.0,
1907.38,0.0,
1724.46,0.0,
1943.22,0.0,
1840.78,0.0,
3912.67,0.0,
3667.29,0.0,
3301.61,0.0,
1223.18,0.0,
4888.44,0.0,
4299.89,0.0,
2657.32,0.0,
1275.48,0.0,
6134.86,0.0,
3756.37,0.0,
268.132,3.56159e-117,
652.459,4.36966e-284,
10628.8,0.0,
3634.82,0.0,
4203.81,0.0,
3478.27,0.0,
5140.13,0.0,
1519.45,0.0,
9151.63,0.0,
460.849,7.17195e-201,
7213.73,0.0,
3555.12,0.0,
2663.78,0.0,
554.41,5.98717e+240,1.0
885.244,0.0,
9591.07,0.0,
646.226,2.22741e-281,
7445.28,0.0,
1621.15,0.0,
398.249,1.10369e-173,
501.087,4.16037e+217,1.0
740.157,3.56e-322,
1384.84,0.0,
4678.52,0.0,
570.892,1.16136e-248,
238.384,2.95774e-104,
1621.29,0.0,
5491.43,0.0,
2976.14,0.0,
2142.17,0.0,
64.9453,6.232e-29,
2167.6,0.0,
157.019,6.4219e-69,
5715.22,0.0,
567.226,4.53736e-247,
2135.86,0.0,
7908.49,0.0,
6172.73,0.0,
3666.43,0.0,
6211.95,0.0,
5301.43,0.0,
3757.12,0.0,
6318.85,0.0,
9341.12,0.0,
4422.62,0.0,
2188.13,0.0,
3195.73,0.0,
2686.15,0.0,
798.325,0.0,
1627.69,0.0,
4357.6,0.0,
4478.99,0.0,
6340.36,0.0,
2322.01,0.0,
3339.09,0.0,
7235.76,0.0,
1491.17,0.0,0.0
1197.78,0.0,
3192.43,0.0,
1813.07,0.0,0.0
3586.62,0.0,0.0
3694.5,0.0,
3161.0,0.0,
1721.09,0.0,
4389.95,0.0,
4555.0,0.0,
3807.02,0.0,
4107.07,0.0,0.0
1133.4,0.0,0.0
763.206,0.0,
498.147,4.5429e-217,
2613.65,0.0,
4536.35,0.0,
3140.88,0.0,
2961.16,0.0,
8942.8,0.0,
5058.55,0.0,
3213.7,0.0,
41.2481,1.21954e-18,
1368.1,0.0,
8972.23,0.0,
3643.82,0.0,
2551.61,0.0,
4704.89,0.0,
3230.4,0.0,
2978.19,0.0,
2262.6,0.0,
3771.31,0.0,
1270.24,0.0,
1813.55,0.0,
4573.98,0.0,
7047.36,0.0,
489.175,3.58017e-213,
3429.84,0.0,
8767.48,0.0,
1609.75,0.0,
1566.41,0.0,
6030.6,0.0,
6260.54,0.0,
4683.1,0.0,
3538.13,0.0,
1832.69,0.0,
5672.03,0.0,
606.365,4.55949e-264,
1113.43,inf,1.0
1151.19,0.0,
774.644,0.0,
3206.58,0.0,0.0
4405.19,0.0,
1766.18,0.0,
825.164,0.0,
2281.28,0.0,
3820.88,0.0,
1864.34,0.0,
477.699,3.45033e-208,
130.917,7.18931e+56,
2145.28,0.0,
7940.82,0.0,
7389.89,0.0,
1198.38,0.0,0.0
5020.35,0.0,0.0
6016.18,0.0,
2949.03,0.0,
4530.59,0.0,
5946.77,0.0,
3383.28,0.0,0.0
2432.74,0.0,
5796.79,0.0,
5892.36,0.0,
5118.0,0.0,
3744.06,0.0,
4463.5,0.0,
2941.04,0.0,
6532.77,0.0,
496.752,1.83373e-216,
855.336,inf,1.0
4219.19,0.0,
1636.34,0.0,0.0
3346.0,0.0,
2767.82,0.0,0.0
676.453,1.65996e-294,0.0
2241.56,0.0,
4370.23,0.0,
4416.96,0.0,
1531.25,0.0,
2836.72,0.0,
1982.96,0.0,
2764.83,0.0,
915.789,0.0,
5311.69,0.0,
4578.83,0.0,
2537.9,0.0,
5614.56,0.0,
77.4619,4.37792e+33,
668.756,2.73461e+290,1.0
705.119,1.69503e+306,1.0
5981.07,0.0,
4029.48,0.0,
2237.17,0.0,
3102.94,0.0,
1896.98,0.0,
2172.39,0.0,
1543.44,0.0,
1375.44,0.0,
2694.93,0.0,
6246.77,0.0,
6755.73,0.0,
5034.36,0.0,
4438.1,0.0,
5347.58,0.0,
1941.81,0.0,
3984.89,0.0,0.0
1452.22,0.0,
3626.71,0.0,
1590.98,0.0,
1852.19,0.0,
2742.68,0.0,
4484.13,0.0,
2184.1,0.0,
5996.78,0.0,
3972.96,0.0,
5691.63,0.0,
2353.33,0.0,
2951.14,0.0,
3381.11,0.0,0.0
3509.54,0.0,0.0
3028.21,0.0,
1083.73,0.0,
942.628,0.0,
4953.6,0.0,
1935.09,0.0,
2059.21,0.0,0.0
721.159,6.37542e-314,
5691.82,0.0,
3380.97,0.0,
2004.93,0.0,
4190.75,0.0,
3157.97,0.0,0.0
4358.92,0.0,
1141.14,0.0,
7657.56,0.0,
2259.61,0.0,
4676.5,0.0,
1615.12,0.0,
1935.97,0.0,
4357.43,0.0,
1919.27,0.0,
4408.04,0.0,0.0
3282.85,0.0,
3380.21,0.0,
2248.17,0.0,
1896.14,0.0,
2078.61,0.0,
2997.6,0.0,
2828.31,0.0,
3947.78,0.0,
959.928,0.0,
500.471,4.44768e-218,
9114.53,0.0,
2041.1,0.0,
235.568,2.0229e+102,
4548.65,0.0,
4481.65,0.0,
3785.25,0.0,
3219.65,0.0,
3337.38,0.0,
2710.86,0.0,0.0
984.221,0.0,
393.625,1.12406e-171,
4074.04,0.0,
2705.64,0.0,
1517.26,0.0,
10099.4,0.0,
502.159,8.22741e-219,
5589.05,0.0,
5461.6,0.0,
831.978,inf,1.0
1983.29,0.0,
86.6805,4.41428e+37,
3659.05,0.0,
493.662,4.03025e-215,
8645.51,0.0,
3910.35,0.0,
1073.7,0.0,
1188.56,inf,1.0
752.319,inf,1.0
525.149,1.17246e+228,1.0
1098.92,inf,1.0
1265.66,inf,1.0
2723.65,0.0,
770.151,0.0,
5847.73,0.0,0.0
3554.67,0.0,
9706.23,0.0,
1796.41,0.0,
748.77,0.0,
3446.79,0.0,
1700.61,0.0,
2167.37,0.0,
4062.92,0.0,
1006.86,0.0,
4621.67,0.0,
4705.36,0.0,
4075.09,0.0,
4813.94,0.0,
733.83,2.00284e-319,
3294.73,0.0,0.0
4674.2,0.0,0.0
6059.35,0.0,
676.449,1.66672e-294,
1016.1,0.0,
7748.38,0.0,
2640.11,0.0,
3000.47,0.0,
7386.89,0.0,
5054.07,0.0,
1612.35,0.0,
274.745,2.08964e+119,
1630.19,0.0,
96.0059,2.01905e-42,
16.8467,4.82584e-08,
3078.03,0.0,
3243.68,0.0,
2796.21,0.0,0.0
7226.65,0.0,
2513.39,0.0,0.0
4469.8,0.0,
1359.88,0.0,
6970.68,0.0,
1261.94,0.0,0.0
3092.43,0.0,
2410.82,0.0,
5313.48,0.0,
1763.28,0.0,
6788.49,0.0,
1838.31,0.0,
1715.03,0.0,
5674.66,0.0,0.0
2883.43,0.0,0.0
6.5462,696.596,
71.9769,1.81616e+31,1.0
197.978,1.04578e-86,0.0
1715.66,0.0,
192.418,3.68037e+83,
2634.96,0.0,
1056.79,0.0,
2232.65,0.0,
424.022,7.07067e-185,
71.9149,5.85809e-32,0.0
1161.71,inf,
121.766,1.31107e-53,
1044.57,inf,1.0
1475.29,0.0,
1395.73,0.0,
3189.41,0.0,
4602.73,0.0,
3152.65,0.0,
466.73,2.00292e-203,
100.971,1.40886e-44,
173.447,2.12379e+75,
111.032,6.0203e-49,
5017.85,0.0,
281.425,1.66448e+122,
331.624,1.0526e+144,
1946.57,0.0,
7140.74,0.0,
1060.4,0.0,
809.073,0.0,
1191.53,0.0,0.0
1637.52,0.0,
6066.58,0.0,
435.3,8.94224e-190,
10299.7,0.0,
1656.21,0.0,
1590.5,0.0,
153.012,3.53138e-67,
1787.39,0.0,
5516.74,0.0,
4520.82,0.0,
1688.42,0.0,
3021.58,0.0,
2515.19,0.0,
269.344,1.06044e-117,
11816.5,0.0,
937.86,0.0,
6912.8,0.0,
1442.29,0.0,
1669.71,0.0,
2021.91,0.0,
1019.64,0.0,
6929.95,0.0,0.0
1619.09,0.0,0.0
370.05,1.94732e-161,
216.775,1.39343e+94,
322.273,1.09337e-140,
987.625,0.0,
1068.86,0.0,
936.618,0.0,
2015.56,0.0,
818.361,0.0,
2046.52,0.0,
633.818,5.44984e-276,
1245.3,0.0,
3414.78,0.0,
310.262,1.79808e-135,
6995.07,0.0,
1040.41,0.0,
1679.47,0.0,
5849.72,0.0,
860.575,0.0,
2189.93,0.0,
3285.07,0.0,0.0
1722.53,0.0,
5074.76,0.0,0.0
801.889,0.0,
4322.75,0.0,
8833.02,0.0,
2396.42,0.0,
4246.72,0.0,
3382.65,0.0,
800.43,0.0,
793.925,0.0,
4078.23,0.0,
7319.56,0.0,0.0
1041.68,0.0,0.0
7961.85,0.0,
1980.32,0.0,
575.378,7.64922e+249,1.0
2162.05,0.0,
878.631,inf,1.0
1985.78,0.0,
954.393,0.0,
1546.4,0.0,
3430.02,0.0,
273.57,6.45349e+118,
10237.3,0.0,
1733.95,0.0,
1705.82,0.0,
752.541,0.0,
1884.74,0.0,
4326.76,0.0,
785.087,0.0,
1578.01,0.0,
2135.66,0.0,
2077.43,0.0,
4123.61,0.0,0.0
121.317,4.86884e+52,
845.258,0.0,
2659.3,0.0,
6428.16,0.0,0.0
2905.98,0.0,
525.106,1.12331e+228,
996.523,0.0,
1030.87,0.0,
1922.52,0.0,0.0
6548.44,0.0,
3169.12,0.0,0.0
3352.3,0.0,
