precise,lat,lng,dist,angle
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050925,14.468438888888889,1.229635640374458,1.015374938706262
on,46.05090277777777,14.468411111111113,2.130599996808883,3.6868383109391525
on,46.050925,14.468444444444444,1.6109933697166217,1.1565746471918723
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05090833333333,14.468391666666667,2.8742354923550844,4.280104733944515
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05090833333333,14.468430555555557,1.268804641823965,2.820981227188892
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05090277777777,14.46836388888889,5.096317731784201,4.346856628732574
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050913888888886,14.468441666666669,1.3896661185052517,2.006603718819848
on,46.05090833333333,14.468391666666667,2.8742354923550844,4.280104733944515
on,46.05091944444444,14.468436111111112,0.830390693505316,1.5336056186765414
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05090277777777,14.468377777777778,4.110436571518959,4.253246410365502
on,46.050925,14.468444444444444,1.6109933697166217,1.1565746471918723
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05092222222222,14.468447222222222,1.7235246062350196,1.3724413467933383
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050925,14.46845,2.0120439865583024,1.2426870089415625
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05090833333333,14.468394444444444,2.680546217328903,4.246499127815003
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05090277777777,14.468388888888889,3.3612560010865478,4.139622839940644
on,46.05091111111111,14.468366666666666,4.632009213480682,4.51785909841659
on,46.05090277777777,14.468411111111113,2.130599996808883,3.6868383109391525
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05093055555555,14.468436111111112,1.5136384908421148,0.5802418570994166
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.050925,14.468441666666669,1.4168401568477342,1.0954684010480065
on,46.05090277777777,14.468375,4.304204814943618,4.2753833595502275
on,46.05090833333333,14.468380555555555,3.6727578672972565,4.378351883054888
on,46.05091111111111,14.468372222222222,4.21098233778623,4.498120563329666
