mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
0.636147,5.42316,0.573492,-1.05559,-1.05559,2.11534
0.571681,5.38394,0.638321,-1.09923,-1.09923,2.0625
0.626257,5.45019,0.538746,-1.01901,-1.01901,2.07949
0.578934,5.37215,0.607753,-1.04564,-1.04564,1.93911
0.561144,5.56298,0.441428,-0.829508,-0.829508,1.71853
0.557489,5.46581,0.463453,-0.759783,-0.759783,1.37747
0.572051,5.50139,0.483824,-0.768068,-0.768068,1.35352
0.595133,5.4523,0.404071,-0.635693,-0.635693,1.15233
0.575538,5.44234,0.343097,-0.592956,-0.592956,1.16333
0.797475,5.03279,0.57827,-1.04413,-1.04413,2.01296
0.699988,5.24534,0.487174,-0.857992,-0.857992,1.65297
0.689074,5.18377,0.505422,-0.875247,-0.875247,1.66386
0.757661,5.14302,0.506273,-0.930642,-0.930642,1.8273
0.662912,5.32692,0.447604,-0.763428,-0.763428,1.44173
0.722845,5.1458,0.424955,-0.756951,-0.756951,1.47621
0.704971,5.22038,0.425587,-0.757138,-0.757138,1.47159
0.571886,5.49219,0.53298,-0.961066,-0.961066,1.85361
0.648954,5.31037,0.509275,-0.889675,-0.889675,1.68286
0.664096,5.3146,0.491727,-0.86601,-0.86601,1.65081
0.689033,5.22526,0.414456,-0.725088,-0.725088,1.38448
0.650309,5.27738,0.417771,-0.723582,-0.723582,1.38413
0.707435,5.25238,0.430613,-0.755793,-0.755793,1.43857
0.724937,5.24213,0.435528,-0.751174,-0.751174,1.41502
0.691405,5.24276,0.406299,-0.705711,-0.705711,1.34608
0.656081,5.30912,0.437798,-0.758809,-0.758809,1.45181
0.625654,5.3379,0.427599,-0.755028,-0.755028,1.47134
0.727017,5.14776,0.368151,-0.661869,-0.661869,1.3605
0.707945,5.21963,0.39572,-0.689971,-0.689971,1.36477
0.696287,5.25846,0.392731,-0.665594,-0.665594,1.26464
0.577175,5.47896,0.487876,-0.853307,-0.853307,1.59953
0.773438,5.14798,0.371567,-0.677183,-0.677183,1.37049
