mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
46.3535,4.69557,385.768,1.05311,1.05311,0.0340026
44.5785,4.7023,380.676,1.17675,1.17675,0.0354446
46.9024,4.70654,429.165,1.47561,1.47561,0.0355385
44.6486,4.71514,411.314,1.36534,1.36534,0.0354789
47.6132,4.71139,357.955,1.27584,1.27584,0.0402181
42.8519,4.68235,438.822,1.37961,1.37961,0.0329949
44.8538,4.6975,412.7,1.54701,1.54701,0.0376785
46.0563,4.69888,378.567,1.15537,1.15537,0.0312126
44.4432,4.7066,417.086,1.41549,1.41549,0.0351109
45.1644,4.70814,354.525,1.11465,1.11465,0.035715
45.5213,4.69909,358.704,1.34356,1.34356,0.039018
46.361,4.69192,379.392,1.31839,1.31839,0.0350611
44.2783,4.70623,437.488,1.36312,1.36312,0.0335043
46.3473,4.68293,357.017,1.37365,1.37365,0.0402335
46.1062,4.69102,389.724,1.25965,1.25965,0.0368681
45.5256,4.70438,393.31,1.53419,1.53419,0.0398394
46.0458,4.70654,409.467,1.38388,1.38388,0.0351388
46.3438,4.69247,393.218,1.59936,1.59936,0.0375577
44.5859,4.70234,442.441,1.37539,1.37539,0.0340335
47.0076,4.68687,397.897,1.4297,1.4297,0.0393865
45.3381,4.71078,434.234,1.54856,1.54856,0.0343657
44.6261,4.69647,356.354,1.2422,1.2422,0.0357262
46.1128,4.6977,455.303,1.33286,1.33286,0.0381075
43.3569,4.69297,395.164,1.48643,1.48643,0.0361449
42.4573,4.67675,395.9,1.60585,1.60585,0.0362321
42.8871,4.6735,381.364,1.5633,1.5633,0.0380461
45.8457,4.69286,403.411,1.18426,1.18426,0.0353909
45.8754,4.70877,374.013,1.25613,1.25613,0.033227
47.8208,4.6994,412.225,1.04314,1.04314,0.0342817
43.6943,4.69985,335.667,1.05347,1.05347,0.0315491
44.3736,4.69145,376.478,1.02394,1.02394,0.0330998
45.4107,4.69349,394.917,1.22196,1.22196,0.0363476
44.4714,4.68276,336.505,1.29535,1.29535,0.0340513
45.4265,4.69714,473.789,1.50601,1.50601,0.0402673
45.5282,4.69266,349.718,1.41897,1.41897,0.0317721
45.1356,4.71003,453.48,1.32942,1.32942,0.0394885
46.1455,4.68645,401.571,1.39603,1.39603,0.0406265
49.3042,4.71264,401.837,1.55222,1.55222,0.0339649
44.0665,4.70502,406.476,1.42837,1.42837,0.0318787
45.6377,4.69432,386.837,1.16268,1.16268,0.0327521
45.3243,4.7001,398.79,1.20215,1.20215,0.0352224
47.6616,4.70443,366.373,1.23869,1.23869,0.0364698
46.4435,4.70305,372.237,1.28539,1.28539,0.0342056
43.524,4.68835,474.6,1.5007,1.5007,0.035888
45.8771,4.6941,401.576,1.7033,1.7033,0.0360008
45.8094,4.69645,373.628,1.32101,1.32101,0.0321387
45.5605,4.6962,399.454,1.5507,1.5507,0.0338871
47.3036,4.69975,440.86,1.19597,1.19597,0.0325344
44.0112,4.69724,351.263,1.18687,1.18687,0.0343958
46.0662,4.70812,378.807,1.43894,1.43894,0.0342272
43.6799,4.7025,394.053,1.32954,1.32954,0.0375651
44.8018,4.69347,409.593,1.40718,1.40718,0.0348362
45.7362,4.68854,417.55,1.57202,1.57202,0.0370972
45.0757,4.6769,489.639,1.7479,1.7479,0.0372913
46.4437,4.71058,324.791,0.943518,0.943518,0.0353237
47.373,4.71465,390.271,1.40633,1.40633,0.0332412
44.2449,4.68625,392.364,1.13539,1.13539,0.0329719
